sample	TN	PATIENT	cancer	FDX1	LIAS	LIPT1	DLD	DLAT	PDHA1	PDHB	MTF1	GLS	CDKN2A
TCGA-GC-A3WC-11	normal	TCGA-GC-A3WC	BLCA	8.67	8.28	7.11	11.07	9.47	10.61	10.23	9.09	10.59	4.91
TCGA-GC-A6I3-01	tumor	TCGA-GC-A6I3	BLCA	9.62	7.35	7.23	11.16	8.81	10.88	10.23	7.7	8.76	3.38
TCGA-GC-A6I3-11	normal	TCGA-GC-A6I3	BLCA	9.72	7.13	6.18	10.77	8.67	10.72	10.09	8.13	9.28	6.38
TCGA-GD-A2C5-01	tumor	TCGA-GD-A2C5	BLCA	9.12	7.42	6.42	11.12	9.13	9.68	10.25	8.52	10.34	1.38
TCGA-GD-A2C5-11	normal	TCGA-GD-A2C5	BLCA	9.31	6.74	6.58	10.59	9.64	9.94	10.2	9.58	10.12	5.41
TCGA-GD-A3OP-01	tumor	TCGA-GD-A3OP	BLCA	8.31	7.86	6.74	10.68	9.59	10.1	10.32	8.51	9.54	9.26
TCGA-GD-A3OP-11	normal	TCGA-GD-A3OP	BLCA	9.51	7.63	7.12	11.16	9.73	10.62	10.28	9.17	9.62	7.78
TCGA-GD-A3OQ-01	tumor	TCGA-GD-A3OQ	BLCA	8.86	6.47	6.04	10.64	9.8	10.13	9.62	9.21	10.62	1.14
TCGA-GD-A3OQ-11	normal	TCGA-GD-A3OQ	BLCA	8.69	8.1	6.97	10.97	9.85	10.3	10.18	9.38	10.24	4.32
TCGA-K4-A3WV-01	tumor	TCGA-K4-A3WV	BLCA	8.2	6.34	7.29	10.69	8.33	10.67	9.98	8.6	9.09	1.43
TCGA-K4-A3WV-11	normal	TCGA-K4-A3WV	BLCA	9.1	8.53	7.49	10.73	9.48	10.36	10.01	9.16	9.44	1.36
TCGA-K4-A54R-01	tumor	TCGA-K4-A54R	BLCA	9.19	6.58	6.03	10.75	9.64	11.31	10.38	8.2	9.81	12.49
TCGA-K4-A54R-11	normal	TCGA-K4-A54R	BLCA	9.91	6.36	6.28	10.68	9.25	10.41	9.52	9.6	11.9	5.16
TCGA-K4-A5RI-01	tumor	TCGA-K4-A5RI	BLCA	9.43	7.51	6.75	11.58	9.82	11.41	9.89	8.74	10.15	2.14
TCGA-K4-A5RI-11	normal	TCGA-K4-A5RI	BLCA	9.19	7.06	6.84	10.65	9.45	10.21	10.19	8.71	10.1	6.21
TCGA-A7-A0CE-01	tumor	TCGA-A7-A0CE	BRCA	8.68	7.38	6.19	12.32	10.61	11.14	9.96	9.2	9.2	9.96
TCGA-A7-A0CE-11	normal	TCGA-A7-A0CE	BRCA	8.59	8.17	7.42	10.7	9.53	10.36	10.5	9	9.81	6.48
TCGA-A7-A0CH-01	tumor	TCGA-A7-A0CH	BRCA	8.67	7.31	7.39	11.03	10.13	9.89	10.91	9.77	10.13	5.81
TCGA-A7-A0CH-11	normal	TCGA-A7-A0CH	BRCA	8.98	7.75	7.38	11.15	9.66	10.91	10.48	9.19	10.29	7.78
TCGA-A7-A0D9-01	tumor	TCGA-A7-A0D9	BRCA	9.1	8.25	6.98	11.73	10.45	10.11	10.69	9.72	10.99	6.17
TCGA-A7-A0D9-11	normal	TCGA-A7-A0D9	BRCA	9.1	7.98	7.28	11.67	9.84	11.54	10.4	9.55	10.44	4.61
TCGA-A7-A0DB-01	tumor	TCGA-A7-A0DB	BRCA	8.87	7.09	7.1	11.24	9.85	9.93	11.08	9.26	9.91	6.61
TCGA-A7-A0DB-11	normal	TCGA-A7-A0DB	BRCA	8.45	7.78	7.04	11.33	9.91	10.7	10.43	9.29	10.85	5.94
TCGA-A7-A0DC-01	tumor	TCGA-A7-A0DC	BRCA	7.58	8.13	6.68	10.54	9.17	10.38	10.89	9.23	9.66	4.46
TCGA-A7-A0DC-11	normal	TCGA-A7-A0DC	BRCA	8.85	7.55	6.98	11.4	10.1	11.14	10.32	9.49	10.39	5.33
TCGA-A7-A13E-01	tumor	TCGA-A7-A13E	BRCA	7	6.85	5.86	11.02	9.75	10.16	10.23	9.09	11.06	5.6
TCGA-A7-A13E-11	normal	TCGA-A7-A13E	BRCA	8.94	7.64	7.05	11.52	10.79	11.13	10.68	9.49	10.88	6.98
TCGA-A7-A13F-01	tumor	TCGA-A7-A13F	BRCA	8.28	7.62	6.26	10.97	10.16	10	10.5	8.77	9.9	5.81
TCGA-A7-A13F-11	normal	TCGA-A7-A13F	BRCA	8.48	8.21	7.41	11.23	10.09	11.12	10.33	9.46	10.33	5.1
TCGA-A7-A13G-01	tumor	TCGA-A7-A13G	BRCA	8.86	7.16	7.43	9.94	10.03	9.89	10.88	9.77	9.59	5.33
TCGA-A7-A13G-11	normal	TCGA-A7-A13G	BRCA	8.8	8.75	7.34	12.38	10.84	11.94	10.89	9.62	11.18	3.93
TCGA-AC-A23H-01	tumor	TCGA-AC-A23H	BRCA	8.82	6.28	6.36	11.05	9.88	10.46	11.08	9.77	9.98	6.88
TCGA-AC-A23H-11	normal	TCGA-AC-A23H	BRCA	8.51	8.25	6.98	10.81	9.82	10.34	10.24	9.5	11.08	5.57
TCGA-AC-A2FB-01	tumor	TCGA-AC-A2FB	BRCA	8.32	7.31	6.59	10.88	10.21	9.77	10.19	9.82	10.45	5.53
TCGA-AC-A2FB-11	normal	TCGA-AC-A2FB	BRCA	8.65	7.66	7.15	10.81	9.59	10.49	10.21	9.42	10.45	5.57
TCGA-AC-A2FF-01	tumor	TCGA-AC-A2FF	BRCA	8.25	7.97	7.18	10.91	9.78	10.15	10.14	9.85	10.21	5.59
TCGA-AC-A2FF-11	normal	TCGA-AC-A2FF	BRCA	8.87	7.72	7.01	10.83	9.78	10.22	10.07	9.64	10.61	4.95
TCGA-AC-A2FM-01	tumor	TCGA-AC-A2FM	BRCA	7.48	7.76	6.15	10.7	9.41	10.2	10.46	8.77	9.1	7.51
TCGA-AC-A2FM-11	normal	TCGA-AC-A2FM	BRCA	9	7.87	7.61	10.4	9.14	10.43	10.35	8.48	9.36	6.77
TCGA-BH-A0AU-01	tumor	TCGA-BH-A0AU	BRCA	7.81	7.98	6.36	11.27	9.78	10.41	10.57	9.71	10.23	6.25
TCGA-BH-A0AU-11	normal	TCGA-BH-A0AU	BRCA	7.92	8.62	7.77	10.35	9.56	10.1	9.67	9.73	10.16	4.87
TCGA-BH-A0AY-01	tumor	TCGA-BH-A0AY	BRCA	9.03	7.67	6.25	10.55	10.21	10.59	10.52	9.58	9.41	6.95
TCGA-BH-A0AY-11	normal	TCGA-BH-A0AY	BRCA	8.88	8	7.68	10.85	9.76	10.57	10.37	9.51	10.61	6.2
TCGA-BH-A0AZ-01	tumor	TCGA-BH-A0AZ	BRCA	8.02	7.24	6.69	9.89	9.22	10.22	10.19	8.68	10.16	7.28
TCGA-BH-A0AZ-11	normal	TCGA-BH-A0AZ	BRCA	8.41	8.23	6.96	10.32	9.65	9.76	9.8	9.61	10.54	4.25
TCGA-BH-A0B3-01	tumor	TCGA-BH-A0B3	BRCA	8.89	6.38	6.73	10.64	10.01	11.77	10.31	9.19	12.05	11.02
TCGA-BH-A0B3-11	normal	TCGA-BH-A0B3	BRCA	8.61	7.93	7.8	10.8	9.66	10.36	10.08	9.72	10.6	5.56
TCGA-BH-A0B5-01	tumor	TCGA-BH-A0B5	BRCA	7.37	7.35	6.77	10.18	9.61	9.81	10.35	9.45	9.44	5.7
TCGA-BH-A0B5-11	normal	TCGA-BH-A0B5	BRCA	9.07	8.22	7.23	12.24	12.01	12.04	11.33	9.03	10.52	2.53
TCGA-BH-A0B7-01	tumor	TCGA-BH-A0B7	BRCA	9.01	7.05	6.61	10.47	10.78	10.26	10.41	9.74	10.39	6.54
TCGA-BH-A0B7-11	normal	TCGA-BH-A0B7	BRCA	8.3	8.45	7.45	10.76	9.98	10.23	9.87	9.75	10.86	4.82
TCGA-BH-A0B8-01	tumor	TCGA-BH-A0B8	BRCA	7.93	7	6.51	10.84	9.38	10.24	10.05	7.85	9.78	7.78
TCGA-BH-A0B8-11	normal	TCGA-BH-A0B8	BRCA	9.32	8.26	6.82	11.99	10.94	12.07	10.61	9.58	11.16	7.17
TCGA-BH-A0BA-01	tumor	TCGA-BH-A0BA	BRCA	8.55	7.21	6.77	11.37	9.93	10.55	10.4	9.29	9.8	5.3
TCGA-BH-A0BA-11	normal	TCGA-BH-A0BA	BRCA	8.52	7.52	6.77	10.82	10.26	10.45	10.01	9.58	10.79	5.61
TCGA-BH-A0BC-01	tumor	TCGA-BH-A0BC	BRCA	8.42	7.15	6.41	10.34	9.27	9.97	10.2	8.56	9.1	7.89
TCGA-BH-A0BC-11	normal	TCGA-BH-A0BC	BRCA	8.63	7.86	7.26	10.71	9.62	10.5	10.13	9.32	10.13	5.95
TCGA-BH-A0BJ-01	tumor	TCGA-BH-A0BJ	BRCA	9.06	7.07	6.97	11.21	10.18	10.36	10.19	9.08	9.36	6.72
TCGA-BH-A0BJ-11	normal	TCGA-BH-A0BJ	BRCA	8.55	8.57	7.21	10.33	9.55	10.21	10.08	9.76	10.28	4.7
TCGA-BH-A0BM-01	tumor	TCGA-BH-A0BM	BRCA	9.71	7.62	7.61	10.68	9.86	10.42	10.56	8.85	9.66	7.49
TCGA-BH-A0BM-11	normal	TCGA-BH-A0BM	BRCA	8.74	7.8	7.84	10.52	9.57	10.52	10.04	9.19	10.45	5.65
TCGA-BH-A0BQ-01	tumor	TCGA-BH-A0BQ	BRCA	8.38	7.38	6.97	10.49	9.57	9.71	10.66	9.28	9.29	7.64
TCGA-BH-A0BQ-11	normal	TCGA-BH-A0BQ	BRCA	8.79	7.65	7.17	10.78	9.84	10.26	9.84	9.68	10.3	5.73
TCGA-BH-A0BS-01	tumor	TCGA-BH-A0BS	BRCA	8.72	7.12	6.64	11.26	10.4	9.81	10.98	9.46	9.7	5.16
TCGA-BH-A0BS-11	normal	TCGA-BH-A0BS	BRCA	8.88	8.33	7.73	10.91	9.84	10.5	10.14	9.38	10.74	4.44
TCGA-BH-A0BT-01	tumor	TCGA-BH-A0BT	BRCA	8.95	7.84	6.41	11.18	9.76	11.14	11.84	8.25	9.37	6.94
TCGA-BH-A0BT-11	normal	TCGA-BH-A0BT	BRCA	8.84	7.86	7.27	10.71	9.67	10.14	10.16	9.61	10.4	5.39
TCGA-BH-A0BV-01	tumor	TCGA-BH-A0BV	BRCA	7.57	7.31	6.44	10.57	9.38	10.54	10.56	8.89	9.59	6.73
TCGA-BH-A0BV-11	normal	TCGA-BH-A0BV	BRCA	8.47	8.27	7.33	10.77	9.82	10.3	9.99	9.76	11.01	5.15
TCGA-BH-A0BW-01	tumor	TCGA-BH-A0BW	BRCA	9.11	6.71	6.48	11.04	10.59	10.23	9.38	9.58	12.07	5.4
TCGA-BH-A0BW-11	normal	TCGA-BH-A0BW	BRCA	9.12	7.6	7.34	10.66	9.72	10.04	9.86	9.69	11.48	5.49
TCGA-BH-A0BZ-01	tumor	TCGA-BH-A0BZ	BRCA	8.24	6.98	6.37	10.77	9.83	9.65	10.57	9.11	9.81	7.53
TCGA-BH-A0BZ-11	normal	TCGA-BH-A0BZ	BRCA	8.56	7.44	6.75	11.11	9.91	10.83	10.28	9.74	10.73	4.74
TCGA-BH-A0C0-01	tumor	TCGA-BH-A0C0	BRCA	8.44	7.19	6.63	10.62	10.27	10.47	9.95	9.64	10.38	6.74
TCGA-BH-A0C0-11	normal	TCGA-BH-A0C0	BRCA	8.37	8.24	7.46	10.61	9.75	10.24	9.94	9.69	10.77	6.06
TCGA-BH-A0C3-01	tumor	TCGA-BH-A0C3	BRCA	7.98	7.51	6.8	11.07	9.91	10.31	10.24	9.74	10.05	5.87
TCGA-BH-A0C3-11	normal	TCGA-BH-A0C3	BRCA	7.94	8.53	7.85	10.5	9.73	10.15	9.9	9.61	10.35	4.49
TCGA-BH-A0DD-01	tumor	TCGA-BH-A0DD	BRCA	6.71	7.25	6.67	10.61	9.58	10.18	10.14	9.72	10.01	5.47
TCGA-BH-A0DD-11	normal	TCGA-BH-A0DD	BRCA	8.61	7.74	7.02	11.37	9.57	11.21	10.27	9.64	10.49	2.16
TCGA-BH-A0DG-01	tumor	TCGA-BH-A0DG	BRCA	7.64	6.82	6.3	10.53	9.14	9.89	9.84	9.27	10.07	5.85
TCGA-BH-A0DG-11	normal	TCGA-BH-A0DG	BRCA	8.4	8.44	7.43	10.61	9.84	10.22	10.09	9.73	10.7	4.43
TCGA-BH-A0DH-01	tumor	TCGA-BH-A0DH	BRCA	7.5	8.11	7.25	10.41	9.23	9.7	11.12	9.14	8.95	7.7
TCGA-BH-A0DH-11	normal	TCGA-BH-A0DH	BRCA	8.74	8.39	7.75	10.74	9.37	11.14	10.48	8.96	9.52	6.63
TCGA-BH-A0DK-01	tumor	TCGA-BH-A0DK	BRCA	8.05	7.42	6.49	10.29	9.11	10.26	9.77	8.96	9.52	7.88
TCGA-BH-A0DK-11	normal	TCGA-BH-A0DK	BRCA	8.72	7.64	6.5	11.17	10.02	10.3	10.41	9.61	10.2	5.85
TCGA-BH-A0DL-01	tumor	TCGA-BH-A0DL	BRCA	8.49	8.29	6.78	10.76	10.05	9.42	9.47	10.29	10.2	3.87
TCGA-BH-A0DL-11	normal	TCGA-BH-A0DL	BRCA	8.5	7.86	7.34	10.75	9.8	10.44	10.14	9.56	10.99	6.19
TCGA-BH-A0DO-01	tumor	TCGA-BH-A0DO	BRCA	8.39	7.39	7.13	10.93	10.28	9.68	10.41	9.59	9.1	5.54
TCGA-BH-A0DO-11	normal	TCGA-BH-A0DO	BRCA	8.53	8.3	7.91	10.72	9.82	10.23	10.06	9.71	10.5	5.01
TCGA-BH-A0DP-01	tumor	TCGA-BH-A0DP	BRCA	8.39	7.29	7.39	10.68	9.88	9.86	10.19	9.37	9.95	7.91
TCGA-BH-A0DP-11	normal	TCGA-BH-A0DP	BRCA	8.42	7.92	7.44	10.39	9.42	10.27	9.9	9.45	9.68	6.38
TCGA-BH-A0DQ-01	tumor	TCGA-BH-A0DQ	BRCA	7.83	7.35	6.69	10.11	9.34	10.2	10.33	9.29	10.01	7.16
TCGA-BH-A0DQ-11	normal	TCGA-BH-A0DQ	BRCA	8.34	7.99	7.3	10.65	9.7	9.94	10.07	9.55	10.36	4.65
TCGA-BH-A0DT-01	tumor	TCGA-BH-A0DT	BRCA	8.15	7.54	6.59	10.97	9.91	9.46	10.3	9.33	9.94	5.87
TCGA-BH-A0DT-11	normal	TCGA-BH-A0DT	BRCA	8.64	7.7	7.13	10.75	9.83	10.09	10.1	9.94	10.54	4.73
TCGA-BH-A0DV-01	tumor	TCGA-BH-A0DV	BRCA	8.45	6.89	6.57	10.67	9.57	9.94	10.56	9.01	10.06	6.86
TCGA-BH-A0DV-11	normal	TCGA-BH-A0DV	BRCA	9.21	7.79	7	10.99	9.92	10.28	10.09	9.8	10.82	4.78
TCGA-BH-A0DZ-01	tumor	TCGA-BH-A0DZ	BRCA	7.77	7.08	6.21	10.23	9.4	10.02	9.71	8.06	10.06	6.09
TCGA-BH-A0DZ-11	normal	TCGA-BH-A0DZ	BRCA	8.7	7.64	7.01	10.65	9.64	10.3	10.52	8.87	9.4	5.38
TCGA-BH-A0E0-01	tumor	TCGA-BH-A0E0	BRCA	9.82	7.53	5.89	11.49	11.55	12.19	10.34	9.74	9.54	9.75
TCGA-BH-A0E0-11	normal	TCGA-BH-A0E0	BRCA	8.42	8.38	7.56	10.78	9.36	10.73	10.34	8.88	9.05	5.93
TCGA-BH-A0E1-01	tumor	TCGA-BH-A0E1	BRCA	8.56	7.04	6.66	10.74	10	9.88	10.38	9.16	8.61	4.7
TCGA-BH-A0E1-11	normal	TCGA-BH-A0E1	BRCA	8.4	8.98	7.79	10.69	9.74	10.55	10.07	9.41	9.74	5.35
TCGA-BH-A0H5-01	tumor	TCGA-BH-A0H5	BRCA	8.59	7.85	7.26	10.66	9.68	9.95	10.42	9.31	10.49	6.92
TCGA-BH-A0H5-11	normal	TCGA-BH-A0H5	BRCA	8.45	8.39	7.75	10.61	9.65	10.16	10.01	9.63	10.54	5.15
TCGA-BH-A0H7-01	tumor	TCGA-BH-A0H7	BRCA	8.12	7.42	7.02	10.45	9.61	10.48	11.13	8.92	9.59	7.64
TCGA-BH-A0H7-11	normal	TCGA-BH-A0H7	BRCA	8.2	8.66	7.71	10.62	9.38	10.65	10.48	8.9	9.83	6.23
TCGA-BH-A0H9-01	tumor	TCGA-BH-A0H9	BRCA	8.66	7.06	6.26	11.13	10.59	10.27	10.72	9.13	10.15	5.16
TCGA-BH-A0H9-11	normal	TCGA-BH-A0H9	BRCA	9.57	7.82	7.19	11.6	9.45	11.7	10.52	8.78	10.03	6.33
TCGA-BH-A0HA-01	tumor	TCGA-BH-A0HA	BRCA	8.57	7.35	6.88	10.32	9.46	10.42	10.47	8.31	9.46	8.15
TCGA-BH-A0HA-11	normal	TCGA-BH-A0HA	BRCA	8.3	8.87	7.73	10.59	9.83	10.24	9.78	9.8	10.81	4.77
TCGA-BH-A0HK-01	tumor	TCGA-BH-A0HK	BRCA	8.44	8	6.56	10.58	9.37	10.32	9.94	9.05	10	7.5
TCGA-BH-A0HK-11	normal	TCGA-BH-A0HK	BRCA	9.12	6.72	6.95	10.63	9.62	10.31	10.21	9.16	10.16	6.59
TCGA-BH-A18J-01	tumor	TCGA-BH-A18J	BRCA	7.41	7.08	6.37	10.76	9.12	10.03	9.66	9.3	9.77	6.6
TCGA-BH-A18J-11	normal	TCGA-BH-A18J	BRCA	8.33	7.85	6.85	10.72	9.63	10.35	9.86	9.73	10.62	5.2
TCGA-BH-A18K-01	tumor	TCGA-BH-A18K	BRCA	8.37	7.93	6.73	11.29	10.53	10.93	10.67	9.29	9.95	5.14
TCGA-BH-A18K-11	normal	TCGA-BH-A18K	BRCA	8.13	8.24	7.02	11.04	10.49	10.95	10.38	9.64	10.52	5.24
TCGA-BH-A18L-01	tumor	TCGA-BH-A18L	BRCA	7.5	7.62	6.42	10.12	9.55	10.1	10.07	9.4	9.33	5.2
TCGA-BH-A18L-11	normal	TCGA-BH-A18L	BRCA	8.69	7.56	7.2	10.97	9.89	10.87	10.09	9.5	10.32	6.4
TCGA-BH-A18M-01	tumor	TCGA-BH-A18M	BRCA	7.55	7.58	6.16	10.51	9.45	9.97	10.62	9.59	10	5.37
TCGA-BH-A18M-11	normal	TCGA-BH-A18M	BRCA	8.73	7.65	7.11	10.91	9.78	10.68	10.12	9.82	10.5	5.63
TCGA-BH-A18N-01	tumor	TCGA-BH-A18N	BRCA	8.52	7.02	5.68	10.43	9.72	10.24	10.09	9	9.98	5.89
TCGA-BH-A18N-11	normal	TCGA-BH-A18N	BRCA	8.48	7.68	6.9	10.82	9.73	10.51	9.98	9.79	10.83	5.75
TCGA-BH-A18P-01	tumor	TCGA-BH-A18P	BRCA	7.39	7.22	6.05	10.72	9.38	9.8	9.59	9.28	9.87	5.55
TCGA-BH-A18P-11	normal	TCGA-BH-A18P	BRCA	8.82	8.7	7.06	11.7	10.53	11.78	10.5	9.55	10.38	7.36
TCGA-BH-A18Q-01	tumor	TCGA-BH-A18Q	BRCA	8.85	6.64	6.74	10.17	10.23	10.27	9.56	9.11	11.08	10.44
TCGA-BH-A18Q-11	normal	TCGA-BH-A18Q	BRCA	8.54	8	7.93	10.73	9.89	10.23	9.98	9.77	10.83	5.63
TCGA-BH-A18R-01	tumor	TCGA-BH-A18R	BRCA	7.88	8.07	6.77	11.45	10.17	10.75	9.85	9.41	10.01	6.53
TCGA-BH-A18R-11	normal	TCGA-BH-A18R	BRCA	8.29	8.08	7.66	10.96	10.02	10.76	9.95	9.72	10.56	3.44
TCGA-BH-A18S-01	tumor	TCGA-BH-A18S	BRCA	8.88	7.87	7.64	10.68	9.14	9.71	10.77	8.65	9.91	6.42
TCGA-BH-A18S-11	normal	TCGA-BH-A18S	BRCA	9.46	7.45	7.43	10.95	9.96	10.67	10.07	9.56	10.55	6.58
TCGA-BH-A18U-01	tumor	TCGA-BH-A18U	BRCA	9.21	7.28	7.31	10.56	11.03	10.07	11.3	9.14	10.18	6.66
TCGA-BH-A18U-11	normal	TCGA-BH-A18U	BRCA	8.6	7.27	7.39	10.55	9.68	10.16	9.89	9.84	10.69	7.66
TCGA-BH-A18V-01	tumor	TCGA-BH-A18V	BRCA	8.11	6.46	6.1	11.13	9.87	10.92	9.96	9.11	11.6	1.87
TCGA-BH-A18V-11	normal	TCGA-BH-A18V	BRCA	8.97	9.02	7.97	10.38	8.99	10.59	10.17	8.8	9.24	5.74
TCGA-BH-A1EN-01	tumor	TCGA-BH-A1EN	BRCA	8.28	7.4	6.11	11.94	10.05	11.04	10.16	8.72	8.95	6.78
TCGA-BH-A1EN-11	normal	TCGA-BH-A1EN	BRCA	8.41	8.06	7.39	11.17	9.92	10.9	10.38	9.4	10.79	6.02
TCGA-BH-A1EO-01	tumor	TCGA-BH-A1EO	BRCA	8.15	7.57	6.86	10.67	9.7	10.17	9.92	9.53	10.62	6.21
TCGA-BH-A1EO-11	normal	TCGA-BH-A1EO	BRCA	9.45	7.64	7.49	11.29	9.68	10.79	10.6	8.89	10.57	5.41
TCGA-BH-A1ET-01	tumor	TCGA-BH-A1ET	BRCA	9.25	7.81	7.3	11.38	10.37	9.68	10.99	9.31	10.58	5.48
TCGA-BH-A1ET-11	normal	TCGA-BH-A1ET	BRCA	8.77	7.77	7.69	10.61	9.8	10.12	9.96	9.74	11.06	4.81
TCGA-BH-A1EU-01	tumor	TCGA-BH-A1EU	BRCA	8.47	7.45	7.15	10.59	9.76	9.86	10.7	9.64	10.88	5.89
TCGA-BH-A1EU-11	normal	TCGA-BH-A1EU	BRCA	8.71	7.91	7.43	10.86	9.92	10.27	10.11	9.98	11.11	5.04
TCGA-BH-A1EV-01	tumor	TCGA-BH-A1EV	BRCA	7.62	6.86	6.85	9.83	10.08	10.06	10.63	10.48	9.64	6.45
TCGA-BH-A1EV-11	normal	TCGA-BH-A1EV	BRCA	8.95	7.72	7.49	11.19	10.32	10.34	10.16	9.95	10.99	5.15
TCGA-BH-A1EW-01	tumor	TCGA-BH-A1EW	BRCA	8.11	7.39	6.77	10.65	9.89	10.1	9.75	10.36	10.3	5.69
TCGA-BH-A1EW-11	normal	TCGA-BH-A1EW	BRCA	8.65	8.1	7.67	10.89	9.91	10.13	9.76	10.28	10.84	4.92
TCGA-BH-A1F0-01	tumor	TCGA-BH-A1F0	BRCA	9.01	6.27	7.28	11.31	10.84	10.86	10.19	9.54	11.26	5.87
TCGA-BH-A1F0-11	normal	TCGA-BH-A1F0	BRCA	9.06	7.97	7.71	11.03	9.88	10.53	10.23	9.51	10.5	6.03
TCGA-BH-A1F2-01	tumor	TCGA-BH-A1F2	BRCA	8.54	7.41	7.46	11.44	10.29	10.49	10.53	9.06	10.98	6.58
TCGA-BH-A1F2-11	normal	TCGA-BH-A1F2	BRCA	8.61	8.13	7.57	11.63	10.78	11.68	10.59	9.65	10.67	4.74
TCGA-BH-A1F6-01	tumor	TCGA-BH-A1F6	BRCA	8.64	7.82	5.46	11.68	10.81	11.42	10.36	9.63	10.86	10.48
TCGA-BH-A1F6-11	normal	TCGA-BH-A1F6	BRCA	9.17	7.71	7.28	11.43	10.5	10.55	10.32	9.98	11.69	6.44
TCGA-BH-A1F8-01	tumor	TCGA-BH-A1F8	BRCA	8.81	6.65	6.98	11.93	10.47	10.53	10.05	8.86	10.65	6.75
TCGA-BH-A1F8-11	normal	TCGA-BH-A1F8	BRCA	8.91	7.84	7.29	10.81	9.97	10.37	10.28	9.43	10.9	5.55
TCGA-BH-A1FB-01	tumor	TCGA-BH-A1FB	BRCA	8.67	7.43	6.6	10.78	9.86	9.84	10.27	9.84	10.88	6.45
TCGA-BH-A1FB-11	normal	TCGA-BH-A1FB	BRCA	8.73	7.72	7.27	10.59	9.87	10.28	10.11	9.67	10.81	5.37
TCGA-BH-A1FC-01	tumor	TCGA-BH-A1FC	BRCA	8.25	6.9	6.09	10.84	9.61	10.99	10.17	9.61	10.32	10.64
TCGA-BH-A1FC-11	normal	TCGA-BH-A1FC	BRCA	9.27	7.64	7.49	10.98	9.74	10.6	10.43	9.37	10.69	5.99
