sample	CancerType	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P.value	Correlation	RMSE
TCGA-OR-A5JS-01	ACC	0.009596991	0.021393355	0.08768934	0.149415403	0.163897544	0.030298596	0	0	0	0	0	0.094561496	0.087767666	0.000572936	0	0.130872153	0	0.217621835	0.006312686	0	0	0	0.68	-0.002507182	1.095677584
TCGA-OR-A5JT-01	ACC	0	0.040971877	0.014622346	0.060606657	0	0.260178452	0	0	0	0	0.020916187	0.040796325	0.046611878	0	0	0.358945169	0	0.093302602	0.063048506	0	0	0	0.288	0.046031033	1.06241889
TCGA-OR-A5JQ-01	ACC	0	0.037375854	0.012915576	0.224342619	0	0.195937493	0	0.034582975	0.065873705	0	0	0.067585258	0.026628973	0	0.068185028	0.182204702	0.005055984	0	0.079311832	0	0	0	0.152	0.077898379	1.069227849
TCGA-OR-A5JJ-01	ACC	0.178164605	0	0.162927823	0.183149452	0	0.035429121	0	0.089307793	0.006645635	0	0	0.088274466	0.017397582	0	0.018393551	0.178417124	0	0.020507306	0.021385542	0	0	0	0.002	0.376416336	0.934554419
TCGA-OR-A5JR-01	ACC	0	0.014531605	0.000636742	0.134157452	0	0.173295951	0	0.000525504	0	0	0	0.118882203	0.065275286	0	0	0.452244501	0	0.02136452	0	0.019086236	0	0	0.148	0.080604079	1.070447478
TCGA-OR-A5JP-01	ACC	0	0.104977387	0.006386734	0.033122046	0	0.283852231	0	0	0	0	0.050618508	0.013920772	0.08055175	0.174457801	0	0.222214398	0	0.009869924	0.020028449	0	0	0	0.568	0.007508294	1.083034298
TCGA-OR-A5KV-01	ACC	0	0.012295861	0.008300358	0.111362018	0.027982211	0.270800751	0	0	0	0	0.13577964	0.00985633	0.143832272	0.136566151	0	0	0	0.001734683	0.141489725	0	0	0	0.942	-0.027000003	1.107554513
TCGA-OR-A5JI-01	ACC	0.015952911	0	0.018967438	0.227581788	0	0.123479325	0	0.043346479	0.067475267	0	0	0.049294174	0.053860177	0	0.015371064	0.27822448	0.000266645	0.004696913	0.101483338	0	0	0	0.152	0.078236885	1.058111102
TCGA-OR-A5JE-01	ACC	0	0.000969738	0	0.073729097	0	0	0	0.052048791	0.001717682	0	0	0.046578691	0.130220269	0	0	0.307805228	0	0.201440617	0	0.132497138	0.052992749	0	0.36	0.031849328	1.082516363
TCGA-OR-A5KW-01	ACC	0	0.0115985	0	0.147879793	0	0.047299297	0	0.011191108	0	0	0.003543189	0.014617818	0.127659679	0	0	0.281204938	0	0.090561981	0.210964066	0	0.053479632	0	0.81	-0.013799965	1.080810942
TCGA-P6-A5OG-01	ACC	0	0.007649238	0.025648957	0.146655966	0	0.076968521	0.045201987	0.029202279	0.000642376	0	0.028696293	0.020758763	0.00680375	0.138678923	0.055886135	0.334707223	0	0	0	0	0	0.08249959	0.04	0.189567963	1.013822546
TCGA-OR-A5LN-01	ACC	0	0.036689071	0.004047839	0.254257421	0	0.084336887	0	0.044296125	0.061912508	0	0.007882882	0.016721167	0.026181424	0	0.005414797	0.417336031	0	0.009887248	0.031036598	0	0	0	0.04	0.186112032	1.018225328
TCGA-OR-A5J9-01	ACC	0.005061864	0	0	0.072400656	0.123743699	0	0	0	0	0	0.075047151	0.025475763	0.263057413	0	0	0.406166702	0	0.016384185	0	0.012662566	0	0	0.574	0.006996769	1.098439386
TCGA-OR-A5LT-01	ACC	0.020254069	0	0.002564184	0.05309291	0	0.309872196	0	0	0	0	0.029786349	0.024745791	0.013787897	0	0	0.448651278	0	0.077174642	0.020070684	0	0	0	0.314	0.039457801	1.078955759
TCGA-OR-A5LS-01	ACC	0.017060907	0.021832272	0.093152582	0.000756883	0.226573108	0.06386251	0	0	0	0	0.036396006	0.01643649	0.047844988	0	0	0.370855798	0	0.077922684	0.027305772	0	0	0	0.562	0.008003421	1.078039591
TCGA-OR-A5LK-01	ACC	0.004586089	0	0.043365771	0.149384947	0	0.13272179	0	0.025146532	0.003535456	0	0	0.024845352	0.050067625	0	0.012917584	0.424809313	0.006958713	0.002173614	0.117463214	0.002023999	0	0	0.096	0.107132207	1.040987144
TCGA-OU-A5PI-01	ACC	0	0.102236039	0	0.136304601	0.044437262	0.074799323	0	0	0	0	0	0.06398158	0.117990365	0	0	0.446475572	0	0.002445614	0	0	0.011329643	0	0.62	0.003862908	1.092878198
TCGA-OR-A5LR-01	ACC	0.001344105	0.003016355	0.076172934	0.081680409	0	0.260578155	0	0.00416028	0	0	0.01683195	0.03102705	0.089298353	0	0.013782867	0.322462229	0	0.009918446	0.089726866	0	0	0	0.1	0.104138921	1.03782673
TCGA-OR-A5LP-01	ACC	0.007052769	0	0.005177921	0.059513056	0	0.163196849	0	0	0	0	0	0.049415038	0.036856387	0	0.024914821	0.443528981	0	0.080779352	0.12351703	0	0	0.006047794	0.078	0.124851349	1.035866403
TCGA-OR-A5LC-01	ACC	0.039498332	0	0.048792249	0.031527666	0	0.188679037	0	0.016317977	0.006632793	0	0.096446769	0	0.039641287	0.237024138	0.003804915	0.168764871	0	0.006197407	0.116672559	0	0	0	0.206	0.065749397	1.056554147
TCGA-OR-A5L9-01	ACC	0.014107788	0.013489305	0.021162662	0.109999213	0	0.243484458	0	0	0.005241996	0	0.039057	0	0.08309907	0	0.015732406	0.327109836	0	0.008588156	0.11892811	0	0	0	0.09	0.110408753	1.035932809
TCGA-P6-A5OF-01	ACC	0	0.041007234	0	0.02162021	0.00953553	0.218183465	0	0	0	0	0.055698774	0.020775476	0.13311637	0	0	0.412560833	0	0.042128963	0.042923692	0	0.002449452	0	0.548	0.008766573	1.081607622
TCGA-OR-A5LJ-01	ACC	0	0.085850722	0.003142289	0.272929037	0	0.028340804	0	0.069670049	0	0	0	0.019938939	0.035752385	0.033392174	0.010728072	0.120078079	0	0.185147451	0.118668585	0	0.016361415	0	0.674	-0.002049458	1.083563696
TCGA-OR-A5LM-01	ACC	0	0.020487497	0	0.107247364	0.014336457	0.100897449	0	0	0	0	0.052835139	0	0.042867492	0	0	0.57095302	0	0.05792276	0.02929876	0	0.003154062	0	0.408	0.025937999	1.09354264
TCGA-OR-A5K0-01	ACC	0.081058319	0	0	0.074548284	0	0.06842256	0	0.059650118	0	0	0.029420221	0.031825444	0.031369414	0	0	0.292130538	0	0.282957043	0	0.045489497	0	0.003128563	0.464	0.018465357	1.087085979
TCGA-OR-A5JZ-01	ACC	0.004789529	0.02548582	0	0.097512595	0	0.22593985	0	0	0	0	0	0.063778036	0.029277411	0	0.009266251	0.408792852	0	0.039607488	0.095550166	0	0	0	0.278	0.047426255	1.067346865
TCGA-OR-A5K1-01	ACC	0	0.004617608	0.050153499	0.067373571	0	0.286036218	0	0.008333331	0	0	0.016080059	0.108505619	0.086853745	0	0.032785821	0.243409973	0	0.029668715	0.06618184	0	0	0	0.29	0.045004092	1.067591464
TCGA-OR-A5K5-01	ACC	0	0.054148719	0.018971659	0.037593994	0	0.044329674	0	0.083808755	0	0	0.134449513	0.026032774	0.07303746	0.00413291	0	0.151582885	0	0.321237133	0.045894194	0	0.001491698	0.003288631	0.812	-0.01402282	1.102876962
TCGA-OR-A5K3-01	ACC	0	0.034648346	0	0.100898469	0	0.092797697	0	0.010593898	0	0	0.015580025	0.005975232	0.069624883	0	0	0.439679118	0	0.201018777	0.029183554	0	0	0	0.092	0.109200264	1.049472003
TCGA-OR-A5K2-01	ACC	0.005850609	0.087509328	0.03999944	0.049124294	0	0.080964748	0	0.04074602	0	0	0	0.035701526	0.117649779	0	0.002668568	0.298657075	0	0.159889158	0	0.022737312	0.058502144	0	0.42	0.023983214	1.067287784
TCGA-OR-A5K4-01	ACC	0	0	0.004375945	0.17234172	0.146698207	0	0	0.054297692	0	0	0	0.073725967	0.056506402	0	0.00125808	0.382235683	0	0.039318909	0.069241395	0	0	0	0.654	-0.000137003	1.090228207
TCGA-OR-A5L5-01	ACC	0.037032304	0	0.020142644	0.184683872	0	0.169049007	0	0	0	0	0	0.054881402	0.052988538	0	0.031563023	0.295292837	0	0.001683505	0.152682869	0	0	0	0.052	0.162506851	1.01678174
TCGA-OR-A5LO-01	ACC	0.046809292	0	0	0.163147805	0.158356909	0	0	0.055897769	0	0	0.061881174	0.045915945	0.074283103	0	0	0.30406315	0	0.078255904	0.011388948	0	0	0	0.904	-0.021737871	1.098394297
TCGA-OR-A5KT-01	ACC	0.01724949	0.040640668	0.10609018	0.123350869	0	0.062539428	0	0.010824949	0.008164011	0	0.058491663	0.006294919	0.129534601	0	0.005816592	0.404884389	0	0	0.026118242	0	0	0	0.016	0.258016834	0.98068862
TCGA-OR-A5KZ-01	ACC	0	0.04616941	0.008203796	0.182027053	0.038537112	0	0	0.010752292	0	0	0.063160728	0	0	0.230804697	0.033853865	0.37636063	0	0	0	0.010130418	0	0	0.008	0.296781193	0.972722326
TCGA-OR-A5KU-01	ACC	0	0.157957058	0	0	0.059300237	0.223863302	0	0	0	0	0.030709836	0.014756626	0.055227754	0	0	0.337306795	0	0.095788076	0.025090317	0	0	0	0.796	-0.012315851	1.08353822
TCGA-OR-A5L4-01	ACC	0.025940414	0	0	0.10280019	0	0.233765168	0	0	0	0	0.045251008	0.01342749	0.074282086	0	0.025255225	0.405136127	0	0.012362835	0.061779458	0	0	0	0.246	0.055893052	1.064449966
TCGA-OR-A5LE-01	ACC	0.010939784	0	0.006251702	0.033285906	0	0.120285346	0	0.062645057	0	0	0	0.030494564	0.043789694	0.128297304	0	0	0	0.377549081	0.181012788	0	0.005448774	0	0.678	-0.002190242	1.113870296
TCGA-OR-A5L6-01	ACC	0	0.007684644	0	0.076221381	0	0.223653258	0	0	0	0	0.057080021	0.062424421	0.055110464	0	0	0.439331866	0	0.042453511	0.036040433	0	0	0	0.326	0.038092788	1.079786896
TCGA-OR-A5LD-01	ACC	0	0.006890355	4.49E-05	0.036554886	0.078080201	0.191588998	0	0.041875353	0	0	0.082948698	0.044762126	0.276702036	0.079282265	0	0.038772723	0	0	0.122497411	0	0	0	0.848	-0.016444374	1.095368197
TCGA-OR-A5LL-01	ACC	0	0.154267043	0.04198158	0.115662324	0.071032627	0.196540623	0	0	0	0	0	0.043202995	0.026507721	0	0	0.198315511	0	0.044737447	0.107752129	0	0	0	0.492	0.016607891	1.07571192
TCGA-OR-A5K8-01	ACC	0	0.024397944	0.094584076	0.268299869	0	0.100776386	0	0	0	0	0.021461942	0.071951118	0.084781109	0	0	0.295469491	0	0.020953335	0.017324731	0	0	0	0.5	0.015302308	1.088547457
TCGA-PA-A5YG-01	ACC	0.005599727	0.00852254	0	0.182001759	0	0.065614368	0	0.008160704	0.004576675	0	0	0.08629514	0.028728303	0	0	0.380909554	0	0.009989555	0.195155247	0.024446428	0	0	0.01	0.284788695	0.970770558
TCGA-OR-A5JF-01	ACC	0.012902086	0	0	0.066189677	0.101602992	0.281089159	0	0	0	0	0	0	0.044631312	0	0.002222638	0.314923526	0	0.118370737	0	0.058067874	0	0	0.634	0.002093647	1.091965494
TCGA-OR-A5J5-01	ACC	0.07188149	0	0.000143401	0.061211163	0.009545689	0.165922602	0	0	0	0	0.080178004	0.02042856	0.04074639	0.064718637	0	0.438330348	0	0.018773551	0.028120165	0	0	0	0.464	0.018477814	1.084728063
TCGA-OR-A5J7-01	ACC	0	0.073519175	0	0.045854637	0	0.339124813	0	0.009387924	0	0	0.104364263	0.057511987	0.128603732	0.054420513	0	0.004497728	0	0.055835854	0.066185395	0	0.060693978	0	0.754	-0.008281382	1.0971233
TCGA-OR-A5J1-01	ACC	0	0.059474665	0.010685048	0.135295433	0	0.271379491	0	0.000549535	0	0	0.021988072	0.005072471	0.104791611	0	0	0.256512212	0	0.020278688	0.113972774	0	0	0	0.5	0.015300013	1.073967603
TCGA-OR-A5J6-01	ACC	0.01501698	0	0.000336609	0.053699413	0	0.134202569	0	0.001460726	0	0	0	0.0140868	0.075631955	0	0.00041913	0.590038954	0.007955258	0.007065922	0.096331057	0	0	0.003754627	0.06	0.150152966	1.042130275
TCGA-OR-A5J8-01	ACC	0.005432243	0	0	0.163549976	0	0.097142372	0	0.038628289	0.009223592	0	0	0.02562611	0.014391826	0	0.066009142	0.536624932	0.001791237	0	0.033827339	0	0	0.007752942	0.022	0.236703441	0.998386325
TCGA-OR-A5LA-01	ACC	0.011738561	0	0.028576602	0.117200485	0	0.15494103	0	0.031031737	0.021542583	0	0	0.082709221	0.029680716	0	0.015870913	0.281463092	0.004580945	0	0.220664114	0	0	0	0.048	0.168625	1.015952967
TCGA-OR-A5L8-01	ACC	0.047820835	0.019122524	0	0.082879983	0.320139109	0.064652525	0	0	0	0	0.067081215	0	0.101344376	0	0	0.253192217	0	0.014194805	0.029572413	0	0	0	0.814	-0.014200116	1.099921899
TCGA-OR-A5LB-01	ACC	0.02791633	0	0	0.070368376	0	0.391653649	0	0.00164519	0	0	0	0.041976322	0.120965917	0.068498827	0.011869875	0.047852646	0	0.012241774	0.118624855	0	0.086386238	0	0.78	-0.011031529	1.092123144
TCGA-OR-A5KO-01	ACC	0	0.068549637	0	0.05619285	0.255383125	0.151700006	0	0	0	0	0.038472782	0.042475284	0.069629201	0.109299842	0	0.11642843	0	0.084428747	0.007440095	0	0	0	0.788	-0.011762053	1.100542006
TCGA-OR-A5L3-01	ACC	0.004093144	0.016562925	0	0.077671998	0.086313095	0.075278516	0	0.040942877	0	0	0.064053095	0.025534176	0.126630014	0	0	0.178830025	0	0.20668632	0.094748939	0	0	0.002654875	0.75	-0.00799304	1.081066749
TCGA-OR-A5JV-01	ACC	0.009492814	0	0	0.02963325	0	0.164421386	0	0.002198322	0	0	0	0.048545391	0.146147823	0	0.018395058	0.528935525	0	0.003794851	0	0.043924393	0.003068589	0.001442599	0.032	0.205581782	1.015404607
TCGA-OR-A5JA-01	ACC	0	0.016665582	0.003675581	0.173087722	0.022683281	0.249474906	0	0	0	0	0	0.055330533	0.08405849	0	0	0.317556251	0	0.038858114	0.037087747	0	0	0.001521794	0.262	0.051399556	1.072769269
TCGA-OR-A5JC-01	ACC	0.004647599	0.002189926	0.001298426	0.16111033	0	0.137723019	0	0.004499441	0	0	0.008571706	0.054722297	0.061562501	0	0.013726858	0.415378002	0.001871801	0.006102302	0.12659579	0	0	0	0.39	0.028468837	1.076547554
TCGA-OR-A5JB-01	ACC	0	0.045084004	0.02446146	0.21717425	0	0.035629975	0.059993487	0.068539095	0.025243563	0	0.029792863	0.012749689	0.010556173	0	0.12140997	0.253876175	0.008954294	0	0	0.086535002	0	0	0.004	0.363853073	0.93364468
TCGA-OR-A5JK-01	ACC	0.01165598	0.01429447	0.005281604	0.401110318	0	0.016612688	0	0.100375799	0.082677623	0	0	0.036194536	0.051984595	0	0.060153885	0.219356667	0	0	0	0.000301834	0	0	0.134	0.086407234	1.082614188
TCGA-OR-A5JL-01	ACC	0	0.018521737	0.042416483	0.119416151	0.054118896	0.164190082	0	0	0	0	0	0.069676274	0.192672914	0	0	0.302395714	0	0.01213592	0	0.010504299	0.01395153	0	0.11	0.098977623	1.047578594
TCGA-OR-A5JW-01	ACC	0	0.013290973	0	0.018513817	0.085062503	0.174728111	0	0.00136632	0	0	0.069951132	0	0.072524806	0	0.001859977	0.502406291	0	0.025833336	0.023506478	0	0.004067639	0.006888616	0.29	0.044458254	1.078403549
TCGA-OR-A5JM-01	ACC	0	0.007663072	0.012912181	0.069009891	0	0.196584337	0	0.035168774	0	0	0.128001871	0	0.104547535	0.197975927	0	0	0.010079236	0.037681848	0.152083031	0	0.048292296	0	0.616	0.004487901	1.079033479
TCGA-OR-A5JO-01	ACC	0.011175365	0	0.011440929	0.105273495	0	0.104745484	0	0.011031291	0.01505945	0	0	0.093969709	0.033412073	0	0.023707362	0.376184805	0.005660674	0	0.208339364	0	0	0	0	0.416744879	0.908545785
TCGA-OR-A5JX-01	ACC	0.049345482	0.047121604	0	0.044173934	0	0.163555941	0	0	0	0	0.082107499	0.024561135	0.107912533	0	0.019006241	0.409947119	0	0.012000985	0.040267526	0	0	0	0.696	-0.003290764	1.085122369
TCGA-OR-A5JY-01	ACC	0.036710515	0	0	0	0	0.340152635	0	0.018087666	0.013703029	0	0	0.043202351	0.060379375	0	0	0.154114278	0	0.220969528	0.09051601	0	0	0.022164613	0.282	0.047060514	1.066456289
TCGA-OR-A5K9-01	ACC	0.01153789	0	0.005138961	0.08211037	0.04327197	0.229477424	0	0	0	0	0.084517454	0.002489236	0.044149406	0	0	0.287154832	0	0.150058505	0.060093951	0	0	0	0.808	-0.013516864	1.088900919
TCGA-OR-A5K6-01	ACC	0.007466674	0.015601094	0.033239603	0.049672696	0.002177724	0.089407777	0	0.016028797	0	0	0	0.04385774	0.195060947	0.018061494	0	0.376071144	0	0.127466709	0	0.013993458	0.011894143	0	0.328	0.037614591	1.073812246
TCGA-OR-A5J2-01	ACC	0.022136428	0	0.151287438	0.113243388	0	0.13838926	0	0.010731424	0	0	0	0.006604672	0.047420691	0	0.016499908	0.444081503	0	0.049605289	0	0	0	0	0.036	0.193012214	1.013851291
TCGA-OR-A5J3-01	ACC	0	0.101665747	0.000224489	0.017344025	0.143165163	0.110012861	0	0	0	0	0.003307195	0.080319251	0.05009036	0	0	0.252791915	0	0.156532572	0.084546422	0	0	0	0.964	-0.031631003	1.087225184
TCGA-FD-A5C0-01	BLCA	0.014046438	0.068209506	0.023038005	0.15894526	0	0	0	0.070793274	0.013180148	0	0.025737258	0	0.09229252	0	0.020439545	0.345945388	0.00410767	0.03878083	0	0.118446509	0.006037648	0	0.044	0.168192215	1.014119416
TCGA-FD-A5C1-01	BLCA	0.01129073	0.002272493	0.044113859	0.157583578	0	0.065190227	0.019638329	0.10420458	0.018188512	0	0.007476506	0.02415104	0.017312756	0	0.083031502	0.312312542	0.014844811	0.059442882	0	0.044886327	0	0.014059327	0.09	0.121323845	1.036428731
TCGA-K4-A5RI-01	BLCA	0	0.018904767	0.01707141	0.005688986	0	0.070438689	0	0.089084467	0	0	0.076811594	0.063246231	0.071136458	0	0	0.188323614	0.137775138	0.028764092	0.232754555	0	0	0	0.044	0.170194223	1.009818956
TCGA-FD-A5BZ-01	BLCA	0.004477866	0.029913622	0.063678604	0.042590881	0	0	0	0.046879553	0.03737278	0	0.017324199	0.002022069	0	0.362685356	0.036001414	0.235903553	0.00147999	0	0.119670113	0	0	0	0.09	0.121742736	1.058982996
TCGA-CF-A5UA-01	BLCA	0	0.156660667	0.020457117	0.108889599	0	0	0	0.150227974	0.046711547	0	0.010101717	0.029328114	0.015489914	0.106370343	0	0.275836542	0.071502355	0	0.00842411	0	0	0	0.078	0.134389483	1.032152298
TCGA-E7-A5KE-01	BLCA	0	0.10505942	0.011854274	0.00087066	0.440634892	0	0	0	0	0.00523309	0.050764581	0	0.028593746	0.056725404	0	0	0	0.199627304	0.100636627	0	0	0	0.606	-0.004089605	1.103414177
TCGA-E7-A5KF-01	BLCA	0	0.189001929	0.05480686	0	0.202203919	0	0	0.120851366	0	0	0.044333242	0	0.004743299	0	0	0.104427792	0	0.155353836	0	0.086587026	0	0.037690732	0.678	-0.010123441	1.091095125
TCGA-FD-A5BY-01	BLCA	0	0.033991132	0.01464627	0.027224238	0	0.022555804	0	0.068418134	0.011273055	0	0	0.060063721	0	0.249416956	0.033415215	0.200248265	0.054212017	0.043570065	0.1797514	0	0	0.001213728	0.01	0.229327917	0.994454266
TCGA-HQ-A5NE-01	BLCA	0	0.031126528	0	0.033945298	0	0.157813036	0	0.092838562	0.012474749	0	0.133040433	0	0.035048883	0.06860416	0.015353333	0.05651403	0	0.150601139	0	0.198684796	0.013955054	0	0.172	0.077559042	1.065679118
TCGA-HQ-A2OF-01	BLCA	0	0.031660354	0	0.145418521	0.142617893	0	0.040599623	0	0	0	0.083758676	0	0.021498942	0	0	0.43683613	0	0.019253888	0	0.078355973	0	0	0.814	-0.020267752	1.099919704
TCGA-FD-A43Y-01	BLCA	0	0.000958334	0.014858219	0.08632102	0	0	0	0.089927721	0.035534982	0	0	0.044339652	0.079085349	0.084075309	0.194634872	0.156114064	0.172744968	0.014582437	0.026823073	0	0	0	0.01	0.240530418	0.995543259
TCGA-FD-A5BR-01	BLCA	0.165352407	0.04422965	0.106268526	0.056661021	0	0.057464211	0	0.142963394	0.072478557	0	0	0.003714418	0.043259748	0.01650849	0.006861244	0.199396129	0	0.032632912	0.051168592	0	0	0.001040703	0	0.377493546	0.928491692
TCGA-FD-A5BS-01	BLCA	0	0.095467683	0.030089539	0.229791367	0	0	0.045546083	0.106933651	0.055047592	0	3.01E-05	0.057035905	0.043526923	0.056061615	0.117591975	0.101794835	0.011424153	0	0.049658581	0	0	0	0.044	0.174079362	1.019729693
TCGA-FJ-A3Z9-01	BLCA	0	0.072830412	0.01192711	0.037322288	0.224485171	0	0	0.235024281	0	0	0	0.054985234	0	0.23134591	0	0.068304513	0	0.040791575	0.022983506	0	0	0	0.236	0.057282515	1.084128939
TCGA-FD-A5BT-01	BLCA	0.00472959	0.00912272	0.005796782	0.281697304	0	0	0.031620905	0.111450252	0.053546024	0	0	0.086542895	0.043236846	0	0.074967078	0.258081585	0.017811578	0	0	0.015829173	0	0.00556727	0.106	0.103109642	1.060311002
TCGA-MV-A51V-01	BLCA	0	0.012095042	0.197452141	0.003103049	0.043244708	0.102039598	0	0.197354263	0	0	0	0	0.023719908	0	0.003762594	0.196052055	0	0.033452722	0	0.18772392	0	0	0.134	0.089277486	1.067248439
TCGA-GC-A4ZW-01	BLCA	0.09310504	0	0.12226306	0.173361028	0	0.073418225	0	0.075441182	0	0	0.03509384	0.059114805	0.040144738	0.098017168	0.0118015	0.171580364	0	0.007721337	0.02808662	0	0.010851093	0	0.006	0.270342792	0.976857555
TCGA-K4-A4AC-01	BLCA	0	0.009436904	0.012712767	0.067860206	0	0.136956465	0	0.045070395	0.012529132	0	0.03060023	0.000105532	0.022170535	0.056423286	0.128687881	0.446663493	0.020335847	0	0.010447328	0	0	0	0.002	0.30014712	0.96781811
TCGA-HQ-A5ND-01	BLCA	0	0.02211968	0.005469771	0.23992511	0.008997116	0	0.078234592	0.036233415	0	0	0.098907102	0	0.01750095	0.013532518	0.192478777	0.114536303	0	0.107592709	0	0.064471957	0	0	0.144	0.085011317	1.08826552
TCGA-E7-A4IJ-01	BLCA	0	0.038489666	0.043788413	0.292549498	0	0	0	0.255805189	0	0	0.059060315	0.062314804	0.007958031	0.003927971	0.021076275	0.106533713	0	0.091544612	0	0.016951512	0	0	0.078	0.135430033	1.062585571
TCGA-FD-A5BV-01	BLCA	0.074804818	0.05994005	0	0.152623549	0.210738724	0	0	0	0.052840875	0	0.03621085	0	0.018541004	0	0.022515796	0.188943089	0.002281049	0.070414188	0.103180891	0	0.006965117	0	0.306	0.036381166	1.068285743
TCGA-E7-A541-01	BLCA	0.000166077	0.011531355	0.026074985	0.373852021	0	0	0	0.123027912	0.06693377	0	0.047685856	0.051299345	0.022598137	0.001925573	0.037678362	0.175552571	0.033358244	0.023254617	0.004099055	0	0	0.00096212	0.134	0.090384543	1.0811861
TCGA-E7-A4XJ-01	BLCA	0.008748175	0.177130465	0.035740976	0.075849855	0.195435979	0	0	0	0.007691686	0	0.028387218	0	0.025801836	0	0	0.209718921	0.02821573	0.082372663	0	0.121356717	0	0.003549778	0.124	0.09759731	1.042191963
TCGA-K4-A54R-01	BLCA	0.004235053	0	0.017591284	0.228731709	0	0	0.055507575	0.109956591	0	0	0.071733013	0.043832188	0.017761652	0	0.136832181	0.288393524	0	0.008299477	0	0.017125755	0	0	0	0.34936484	0.944742533
TCGA-FD-A5BU-01	BLCA	0.12932176	0	0.14315615	0.062776909	0	0.047570777	0.004516845	0.057852634	0.048871013	0	0.044417524	0.029549235	0.026590529	0.051828083	0.084757502	0.132947623	0.096973609	0	0.032831418	0	0	0.006038389	0	0.361534491	0.934204506
TCGA-FD-A5BX-01	BLCA	0	0.041914049	0	0.035761484	0	0.00562026	0	0.017628959	0	0.020590628	0.00831047	0.004055507	0.035409931	0.156206568	0.017003692	0.645560102	0.010149027	0	0.000981683	0.000807639	0	0	0	0.562847736	0.826758114
TCGA-GU-A42P-01	BLCA	0	0.042249393	0.031348894	0.014874276	0.222977643	0.105718994	0	0	0	0	0	0.011598172	0.019477417	0.199381683	0	0	0	0.205002556	0.131379611	0	0	0.015991362	0.7	-0.012002112	1.094789916
