sample	CancerType	Cuproptosis_positive	Cuproptosis_negative	Cuproptosis_activity_score	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P.value	Correlation	RMSE
TCGA-OR-A5JL	ACC	0.733279364	-0.374196314	1.107475678	0	0.018521737	0.042416483	0.119416151	0.054118896	0.164190082	0	0	0	0	0	0.069676274	0.192672914	0	0	0.302395714	0	0.01213592	0	0.010504299	0.01395153	0	0.11	0.098977623	1.047578594
TCGA-OR-A5JM	ACC	0.544494417	-0.43027851	0.974772927	0	0.007663072	0.012912181	0.069009891	0	0.196584337	0	0.035168774	0	0	0.128001871	0	0.104547535	0.197975927	0	0	0.010079236	0.037681848	0.152083031	0	0.048292296	0	0.616	0.004487901	1.079033479
TCGA-OR-A5JO	ACC	0.555139942	0.648861237	-0.093721295	0.011175365	0	0.011440929	0.105273495	0	0.104745484	0	0.011031291	0.01505945	0	0	0.093969709	0.033412073	0	0.023707362	0.376184805	0.005660674	0	0.208339364	0	0	0	0	0.416744879	0.908545785
TCGA-OR-A5JP	ACC	0.732415269	0.504917909	0.22749736	0	0.104977387	0.006386734	0.033122046	0	0.283852231	0	0	0	0	0.050618508	0.013920772	0.08055175	0.174457801	0	0.222214398	0	0.009869924	0.020028449	0	0	0	0.568	0.007508294	1.083034298
TCGA-OR-A5JQ	ACC	0.715069738	-0.55874314	1.273812878	0	0.037375854	0.012915576	0.224342619	0	0.195937493	0	0.034582975	0.065873705	0	0	0.067585258	0.026628973	0	0.068185028	0.182204702	0.005055984	0	0.079311832	0	0	0	0.152	0.077898379	1.069227849
TCGA-OR-A5JR	ACC	0.745260901	0.462758611	0.28250229	0	0.014531605	0.000636742	0.134157452	0	0.173295951	0	0.000525504	0	0	0	0.118882203	0.065275286	0	0	0.452244501	0	0.02136452	0	0.019086236	0	0	0.148	0.080604079	1.070447478
TCGA-OR-A5JS	ACC	0.689382821	-0.500449892	1.189832713	0.009596991	0.021393355	0.08768934	0.149415403	0.163897544	0.030298596	0	0	0	0	0	0.094561496	0.087767666	0.000572936	0	0.130872153	0	0.217621835	0.006312686	0	0	0	0.68	-0.002507182	1.095677584
TCGA-OR-A5JT	ACC	0.717492041	0.362922223	0.354569818	0	0.040971877	0.014622346	0.060606657	0	0.260178452	0	0	0	0	0.020916187	0.040796325	0.046611878	0	0	0.358945169	0	0.093302602	0.063048506	0	0	0	0.288	0.046031033	1.06241889
TCGA-OR-A5JV	ACC	0.802873514	0.359976741	0.442896772	0.009492814	0	0	0.02963325	0	0.164421386	0	0.002198322	0	0	0	0.048545391	0.146147823	0	0.018395058	0.528935525	0	0.003794851	0	0.043924393	0.003068589	0.001442599	0.032	0.205581782	1.015404607
TCGA-OR-A5JW	ACC	0.667398531	-0.358091972	1.025490503	0	0.013290973	0	0.018513817	0.085062503	0.174728111	0	0.00136632	0	0	0.069951132	0	0.072524806	0	0.001859977	0.502406291	0	0.025833336	0.023506478	0	0.004067639	0.006888616	0.29	0.044458254	1.078403549
TCGA-OR-A5JX	ACC	0.378720151	-0.544660666	0.923380816	0.049345482	0.047121604	0	0.044173934	0	0.163555941	0	0	0	0	0.082107499	0.024561135	0.107912533	0	0.019006241	0.409947119	0	0.012000985	0.040267526	0	0	0	0.696	-0.003290764	1.085122369
TCGA-OR-A5JY	ACC	0.680242926	0.576581895	0.103661031	0.036710515	0	0	0	0	0.340152635	0	0.018087666	0.013703029	0	0	0.043202351	0.060379375	0	0	0.154114278	0	0.220969528	0.09051601	0	0	0.022164613	0.282	0.047060514	1.066456289
TCGA-OR-A5JZ	ACC	0.652404596	0.530941181	0.121463415	0.004789529	0.02548582	0	0.097512595	0	0.22593985	0	0	0	0	0	0.063778036	0.029277411	0	0.009266251	0.408792852	0	0.039607488	0.095550166	0	0	0	0.278	0.047426255	1.067346865
TCGA-OR-A5K0	ACC	0.399124336	-0.296797502	0.695921838	0.081058319	0	0	0.074548284	0	0.06842256	0	0.059650118	0	0	0.029420221	0.031825444	0.031369414	0	0	0.292130538	0	0.282957043	0	0.045489497	0	0.003128563	0.464	0.018465357	1.087085979
TCGA-OR-A5K1	ACC	0.775729724	0.373007989	0.402721735	0	0.004617608	0.050153499	0.067373571	0	0.286036218	0	0.008333331	0	0	0.016080059	0.108505619	0.086853745	0	0.032785821	0.243409973	0	0.029668715	0.06618184	0	0	0	0.29	0.045004092	1.067591464
TCGA-OR-A5K2	ACC	0.734570144	-0.50276058	1.237330724	0.005850609	0.087509328	0.03999944	0.049124294	0	0.080964748	0	0.04074602	0	0	0	0.035701526	0.117649779	0	0.002668568	0.298657075	0	0.159889158	0	0.022737312	0.058502144	0	0.42	0.023983214	1.067287784
TCGA-OR-A5K3	ACC	0.791331794	-0.363908831	1.155240625	0	0.034648346	0	0.100898469	0	0.092797697	0	0.010593898	0	0	0.015580025	0.005975232	0.069624883	0	0	0.439679118	0	0.201018777	0.029183554	0	0	0	0.092	0.109200264	1.049472003
TCGA-OR-A5K4	ACC	0.697113018	0.775985306	-0.078872288	0	0	0.004375945	0.17234172	0.146698207	0	0	0.054297692	0	0	0	0.073725967	0.056506402	0	0.00125808	0.382235683	0	0.039318909	0.069241395	0	0	0	0.654	-0.000137003	1.090228207
TCGA-OR-A5K5	ACC	0.665652993	-0.601552488	1.26720548	0	0.054148719	0.018971659	0.037593994	0	0.044329674	0	0.083808755	0	0	0.134449513	0.026032774	0.07303746	0.00413291	0	0.151582885	0	0.321237133	0.045894194	0	0.001491698	0.003288631	0.812	-0.01402282	1.102876962
TCGA-OR-A5K6	ACC	0.651387123	-0.599325747	1.250712869	0.007466674	0.015601094	0.033239603	0.049672696	0.002177724	0.089407777	0	0.016028797	0	0	0	0.04385774	0.195060947	0.018061494	0	0.376071144	0	0.127466709	0	0.013993458	0.011894143	0	0.328	0.037614591	1.073812246
TCGA-OR-A5K8	ACC	0.463292369	-0.32491488	0.788207248	0	0.024397944	0.094584076	0.268299869	0	0.100776386	0	0	0	0	0.021461942	0.071951118	0.084781109	0	0	0.295469491	0	0.020953335	0.017324731	0	0	0	0.5	0.015302308	1.088547457
TCGA-OR-A5K9	ACC	0.554374958	0.339780368	0.21459459	0.01153789	0	0.005138961	0.08211037	0.04327197	0.229477424	0	0	0	0	0.084517454	0.002489236	0.044149406	0	0	0.287154832	0	0.150058505	0.060093951	0	0	0	0.808	-0.013516864	1.088900919
TCGA-OR-A5KO	ACC	0.414220822	0.416616302	-0.002395481	0	0.068549637	0	0.05619285	0.255383125	0.151700006	0	0	0	0	0.038472782	0.042475284	0.069629201	0.109299842	0	0.11642843	0	0.084428747	0.007440095	0	0	0	0.788	-0.011762053	1.100542006
TCGA-OR-A5KT	ACC	0.626123471	0.372432126	0.253691345	0.01724949	0.040640668	0.10609018	0.123350869	0	0.062539428	0	0.010824949	0.008164011	0	0.058491663	0.006294919	0.129534601	0	0.005816592	0.404884389	0	0	0.026118242	0	0	0	0.016	0.258016834	0.98068862
TCGA-OR-A5KU	ACC	0.556995122	0.471495928	0.085499194	0	0.157957058	0	0	0.059300237	0.223863302	0	0	0	0	0.030709836	0.014756626	0.055227754	0	0	0.337306795	0	0.095788076	0.025090317	0	0	0	0.796	-0.012315851	1.08353822
TCGA-OR-A5KV	ACC	0.759171924	-0.396536641	1.155708564	0	0.012295861	0.008300358	0.111362018	0.027982211	0.270800751	0	0	0	0	0.13577964	0.00985633	0.143832272	0.136566151	0	0	0	0.001734683	0.141489725	0	0	0	0.942	-0.027000003	1.107554513
TCGA-OR-A5KW	ACC	0.640209374	-0.450581044	1.090790418	0	0.0115985	0	0.147879793	0	0.047299297	0	0.011191108	0	0	0.003543189	0.014617818	0.127659679	0	0	0.281204938	0	0.090561981	0.210964066	0	0.053479632	0	0.81	-0.013799965	1.080810942
TCGA-OR-A5KX	ACC	0.65371535	0.524311122	0.129404228	0.028727397	0	0.002107505	0.053813638	0	0.22383501	0	0	0	0	0.044523964	0.035820552	0.263011791	0	0	0.187700535	0	0.004056799	0.156402809	0	0	0	0.388	0.028788096	1.069756964
TCGA-OR-A5KY	ACC	0.667201449	-0.349906703	1.017108152	0	0.024795234	0.004418098	0.051506031	0	0.22589166	0	0	0	0	0	0.032547133	0.099327106	0	9.98E-05	0.486399668	0	0.042827337	0	0.017418491	0.014769491	0	0.246	0.055620633	1.073474371
TCGA-OR-A5KZ	ACC	0.633842936	-0.500033634	1.13387657	0	0.04616941	0.008203796	0.182027053	0.038537112	0	0	0.010752292	0	0	0.063160728	0	0	0.230804697	0.033853865	0.37636063	0	0	0	0.010130418	0	0	0.008	0.296781193	0.972722326
TCGA-OR-A5L3	ACC	0.724629122	-0.628699864	1.353328986	0.004093144	0.016562925	0	0.077671998	0.086313095	0.075278516	0	0.040942877	0	0	0.064053095	0.025534176	0.126630014	0	0	0.178830025	0	0.20668632	0.094748939	0	0	0.002654875	0.75	-0.00799304	1.081066749
TCGA-OR-A5L4	ACC	0.785623384	-0.243340419	1.028963803	0.025940414	0	0	0.10280019	0	0.233765168	0	0	0	0	0.045251008	0.01342749	0.074282086	0	0.025255225	0.405136127	0	0.012362835	0.061779458	0	0	0	0.246	0.055893052	1.064449966
TCGA-OR-A5L5	ACC	0.773635272	0.455420618	0.318214654	0.037032304	0	0.020142644	0.184683872	0	0.169049007	0	0	0	0	0	0.054881402	0.052988538	0	0.031563023	0.295292837	0	0.001683505	0.152682869	0	0	0	0.052	0.162506851	1.01678174
TCGA-OR-A5L6	ACC	0.525147891	-0.342023598	0.86717149	0	0.007684644	0	0.076221381	0	0.223653258	0	0	0	0	0.057080021	0.062424421	0.055110464	0	0	0.439331866	0	0.042453511	0.036040433	0	0	0	0.326	0.038092788	1.079786896
TCGA-OR-A5L8	ACC	0.574023262	0.534083697	0.039939564	0.047820835	0.019122524	0	0.082879983	0.320139109	0.064652525	0	0	0	0	0.067081215	0	0.101344376	0	0	0.253192217	0	0.014194805	0.029572413	0	0	0	0.814	-0.014200116	1.099921899
TCGA-OR-A5L9	ACC	0.454131689	-0.482765045	0.936896734	0.014107788	0.013489305	0.021162662	0.109999213	0	0.243484458	0	0	0.005241996	0	0.039057	0	0.08309907	0	0.015732406	0.327109836	0	0.008588156	0.11892811	0	0	0	0.09	0.110408753	1.035932809
TCGA-OR-A5LA	ACC	0.707415091	-0.456982215	1.164397306	0.011738561	0	0.028576602	0.117200485	0	0.15494103	0	0.031031737	0.021542583	0	0	0.082709221	0.029680716	0	0.015870913	0.281463092	0.004580945	0	0.220664114	0	0	0	0.048	0.168625	1.015952967
TCGA-OR-A5LB	ACC	0.841800608	-0.420672341	1.262472949	0.02791633	0	0	0.070368376	0	0.391653649	0	0.00164519	0	0	0	0.041976322	0.120965917	0.068498827	0.011869875	0.047852646	0	0.012241774	0.118624855	0	0.086386238	0	0.78	-0.011031529	1.092123144
TCGA-OR-A5LC	ACC	0.575730917	-0.628134188	1.203865105	0.039498332	0	0.048792249	0.031527666	0	0.188679037	0	0.016317977	0.006632793	0	0.096446769	0	0.039641287	0.237024138	0.003804915	0.168764871	0	0.006197407	0.116672559	0	0	0	0.206	0.065749397	1.056554147
TCGA-OR-A5LD	ACC	0.381825263	0.431383552	-0.049558289	0	0.006890355	4.49E-05	0.036554886	0.078080201	0.191588998	0	0.041875353	0	0	0.082948698	0.044762126	0.276702036	0.079282265	0	0.038772723	0	0	0.122497411	0	0	0	0.848	-0.016444374	1.095368197
TCGA-OR-A5LE	ACC	0.695247071	0.636498915	0.058748155	0.010939784	0	0.006251702	0.033285906	0	0.120285346	0	0.062645057	0	0	0	0.030494564	0.043789694	0.128297304	0	0	0	0.377549081	0.181012788	0	0.005448774	0	0.678	-0.002190242	1.113870296
TCGA-OR-A5LG	ACC	0.645550117	-0.459368533	1.10491865	0.007168876	0.01112538	0.007981885	0.139842292	0	0.14274236	0	0.001614244	0	0	0.00790617	0.031557566	0.068116966	0	0	0.448243225	0	0.007464177	0.126236859	0	0	0	0.104	0.103344811	1.046162622
TCGA-OR-A5LH	ACC	0.699454891	0.337333905	0.362120986	0.047299082	0.038179517	0	0.198591398	0	0.065240008	0	0.043309924	0	0	0	0.101880404	0.140177691	0	0.012081089	0.287939269	0	0.000576289	0	0.064725328	0	0	0.388	0.028762925	1.080552774
TCGA-OR-A5LJ	ACC	0.478463494	-0.562445765	1.040909259	0	0.085850722	0.003142289	0.272929037	0	0.028340804	0	0.069670049	0	0	0	0.019938939	0.035752385	0.033392174	0.010728072	0.120078079	0	0.185147451	0.118668585	0	0.016361415	0	0.674	-0.002049458	1.083563696
TCGA-OR-A5LK	ACC	0.696820174	-0.360182208	1.057002382	0.004586089	0	0.043365771	0.149384947	0	0.13272179	0	0.025146532	0.003535456	0	0	0.024845352	0.050067625	0	0.012917584	0.424809313	0.006958713	0.002173614	0.117463214	0.002023999	0	0	0.096	0.107132207	1.040987144
TCGA-OR-A5LL	ACC	0.627037613	-0.352137656	0.979175269	0	0.154267043	0.04198158	0.115662324	0.071032627	0.196540623	0	0	0	0	0	0.043202995	0.026507721	0	0	0.198315511	0	0.044737447	0.107752129	0	0	0	0.492	0.016607891	1.07571192
TCGA-OR-A5LM	ACC	0.653295521	0.32551589	0.327779631	0	0.020487497	0	0.107247364	0.014336457	0.100897449	0	0	0	0	0.052835139	0	0.042867492	0	0	0.57095302	0	0.05792276	0.02929876	0	0.003154062	0	0.408	0.025937999	1.09354264
TCGA-OR-A5LN	ACC	0.605007897	-0.630989911	1.235997808	0	0.036689071	0.004047839	0.254257421	0	0.084336887	0	0.044296125	0.061912508	0	0.007882882	0.016721167	0.026181424	0	0.005414797	0.417336031	0	0.009887248	0.031036598	0	0	0	0.04	0.186112032	1.018225328
TCGA-OR-A5LO	ACC	0.59509382	0.430342482	0.164751338	0.046809292	0	0	0.163147805	0.158356909	0	0	0.055897769	0	0	0.061881174	0.045915945	0.074283103	0	0	0.30406315	0	0.078255904	0.011388948	0	0	0	0.904	-0.021737871	1.098394297
TCGA-OR-A5LP	ACC	0.652518202	0.414919017	0.237599185	0.007052769	0	0.005177921	0.059513056	0	0.163196849	0	0	0	0	0	0.049415038	0.036856387	0	0.024914821	0.443528981	0	0.080779352	0.12351703	0	0	0.006047794	0.078	0.124851349	1.035866403
TCGA-OR-A5LR	ACC	0.665901597	0.468434305	0.197467292	0.001344105	0.003016355	0.076172934	0.081680409	0	0.260578155	0	0.00416028	0	0	0.01683195	0.03102705	0.089298353	0	0.013782867	0.322462229	0	0.009918446	0.089726866	0	0	0	0.1	0.104138921	1.03782673
TCGA-OR-A5LS	ACC	0.802675506	0.401138938	0.401536568	0.017060907	0.021832272	0.093152582	0.000756883	0.226573108	0.06386251	0	0	0	0	0.036396006	0.01643649	0.047844988	0	0	0.370855798	0	0.077922684	0.027305772	0	0	0	0.562	0.008003421	1.078039591
TCGA-OR-A5LT	ACC	0.710242527	-0.479288765	1.189531291	0.020254069	0	0.002564184	0.05309291	0	0.309872196	0	0	0	0	0.029786349	0.024745791	0.013787897	0	0	0.448651278	0	0.077174642	0.020070684	0	0	0	0.314	0.039457801	1.078955759
TCGA-OU-A5PI	ACC	0.627756715	0.484429294	0.143327421	0	0.102236039	0	0.136304601	0.044437262	0.074799323	0	0	0	0	0	0.06398158	0.117990365	0	0	0.446475572	0	0.002445614	0	0	0.011329643	0	0.62	0.003862908	1.092878198
TCGA-P6-A5OF	ACC	0.361297744	-0.329006185	0.690303929	0	0.041007234	0	0.02162021	0.00953553	0.218183465	0	0	0	0	0.055698774	0.020775476	0.13311637	0	0	0.412560833	0	0.042128963	0.042923692	0	0.002449452	0	0.548	0.008766573	1.081607622
TCGA-P6-A5OG	ACC	-0.269934858	0.468080657	-0.738015516	0	0.007649238	0.025648957	0.146655966	0	0.076968521	0.045201987	0.029202279	0.000642376	0	0.028696293	0.020758763	0.00680375	0.138678923	0.055886135	0.334707223	0	0	0	0	0	0.08249959	0.04	0.189567963	1.013822546
TCGA-PA-A5YG	ACC	0.671412696	0.409954983	0.261457712	0.005599727	0.00852254	0	0.182001759	0	0.065614368	0	0.008160704	0.004576675	0	0	0.08629514	0.028728303	0	0	0.380909554	0	0.009989555	0.195155247	0.024446428	0	0	0.01	0.284788695	0.970770558
TCGA-PK-A5H8	ACC	0.473630676	-0.318996969	0.792627645	0.016978541	0	0	0.027379688	0	0.206535546	0	0.004526315	0	0	0	0.091767872	0.107543415	0	0	0.423374308	0	0.017146642	0	0.10045096	0.004296713	0	0.262	0.050868394	1.076773881
TCGA-PK-A5H9	ACC	0.836751563	0.602187355	0.234564208	0.003085719	0.009173641	0.02464385	0.063446646	0	0.142123641	0	0.074405884	0	0	0	0.063861637	0.120520682	0	0.017892596	0.337404999	0	0.003450275	0.139990431	0	0	0	0.434	0.02201999	1.068640623
TCGA-PK-A5HA	ACC	0.365684915	0.35228735	0.013397565	0	0.010996764	0.003813116	0.116870615	0	0.020107017	0.005498853	0.014422727	0.010774998	0	0.010742743	0	0.040652964	0	0	0.692738446	0.009129606	0	0.06425215	0	0	0	0	0.406630778	0.921035074
TCGA-PK-A5HB	ACC	0.488448435	0.72750103	-0.239052595	0.019728261	0	0.014664606	0	0.013624882	0.225556865	0	0.00075493	0	0	0.065301531	0	0.066012249	0	0	0.299668268	0	0.237543673	0.057144736	0	0	0	0.32	0.03879364	1.069126388
TCGA-2F-A9KO	BLCA	-0.686196571	-0.426562427	-0.259634144	0.057633991	0.004418084	0.116339032	0.214512613	0	0.048384081	0.000816635	0.13309559	0.057312751	0	0	0.038255488	0.028201368	0.005197445	0.055148787	0.180662806	0.014590633	0.040400766	0.005029929	0	0	0	0.008	0.264450777	0.982399986
TCGA-2F-A9KP	BLCA	0.6123349	0.458852552	0.153482349	0	0.232892098	0.103006974	0.063535995	0.085036305	0.090782999	0	0	0	0	0.033947973	0	0.076480768	0	0	0.111960725	0	0.105826399	0	0.084563568	0	0.011966195	0.012	0.227583815	0.996352613
TCGA-2F-A9KQ	BLCA	-0.24659569	-0.603232234	0.356636544	0	0.032020768	0.008832928	0.049462269	0.270404734	0	0	0.035222515	0	0	0	0.006169223	0.109018241	0	0	0.188311886	0.016997932	0.092639867	0.190919636	0	0	0	0.586	-0.001869285	1.076261284
TCGA-2F-A9KR	BLCA	-0.314325963	-0.565774041	0.251448077	0	0.121167323	0.162164528	0.126916842	0	0	0	0.191229061	0	0	0.01187312	0.040760308	0.08648058	0	0	0.181671679	0	0.063785858	0	0.008638347	0	0.005312353	0.012	0.222212794	1.002494055
TCGA-2F-A9KT	BLCA	-0.616795735	-0.554325921	-0.062469814	0	0.046134489	0.040121709	0.153581579	0.006588841	0	0	0.100072706	0	0	0.0343344	0.029376319	0.037791067	0.108900775	0.033574039	0.279562239	0	0	0	0.072822391	0	0.057139446	0.344	0.02820191	1.073381768
TCGA-2F-A9KW	BLCA	0.566160314	-0.658897365	1.225057679	0.033019252	0	0.040750954	0.016724886	0.0417626	0.007109411	0	0.011319627	0.013328801	0	0.010680592	0	0.006843136	0.225662464	0.013780206	0.363983804	0	0.087048568	0	0.041035053	0.042151318	0.044799329	0.064	0.146167658	1.046532872
TCGA-4Z-AA7M	BLCA	0.23754186	-0.367911077	0.605452937	0	0.111899873	0.025513991	0.134336115	0.158438096	0	0	0.012698735	0.004022287	0	0.106442102	0	0.030781994	0.08584197	0.036525832	0.227197253	0	0.009171108	0	0.057130642	0	0	0.026	0.197531017	1.003690506
TCGA-4Z-AA7N	BLCA	-0.589525163	0.613801972	-1.203327134	0.276693033	0.150701268	0.009438238	0.074589596	0	0.124226659	0.015661828	0.090486515	0.076126705	0	0	0.015274789	0.012586964	0.040551023	0.019376183	0.08886201	0	0.005425188	0	0	0	0	0	0.439514903	0.903771605
TCGA-4Z-AA7O	BLCA	-0.416404303	-0.639524359	0.223120056	0	0.036508983	0.085513765	0.232120038	0	0.083314908	0	0.18332932	0.020388608	0	0	0.046486566	0.023335205	0	0.060743344	0.134186374	0.014452226	0.059123741	0.020496921	0	0	0	0.044	0.175923361	1.026757339
TCGA-4Z-AA7Q	BLCA	-0.222086115	0.61791418	-0.840000295	0.017699348	0.006226999	0.045596142	0.247137476	0	0	0.027485889	0.13558193	0.040442507	0	0	0.055844245	0.036781169	0.027605612	0.19367508	0.091326593	0.006627581	0.011563133	0.056406296	0	0	0	0.1	0.106330041	1.06767209
TCGA-4Z-AA7R	BLCA	0.252127095	0.5070816	-0.254954505	0.075946908	0	0.333467664	0.020594628	0.063183896	0	0	0.003255363	0	0	0.042703422	0	0	0.009233118	0	0.33815147	0	0.038054225	0	0.075409305	0	0	0	0.43466633	0.913912532
TCGA-4Z-AA7S	BLCA	-0.253723757	0.363171455	-0.616895213	0	0.102050275	0.070019399	0.04531892	0.220239497	0	0	0.302355571	0	0.003597169	0	0	0.016915882	0	0	0.13934826	0	0.064652064	0.030583962	0.004919001	0	0	0.176	0.074558483	1.081782187
TCGA-4Z-AA7W	BLCA	0.242134148	-0.675238997	0.917373145	0.022251153	0	0.05587095	0.322800536	0	0	0.037303102	0.164087779	0.017588342	0.045465723	0	0.107295581	0.006780208	0	0.047605258	0.137177689	0.008839102	0.026934575	0	0	0	0	0.078	0.133530474	1.067048563
TCGA-4Z-AA7Y	BLCA	0.612182662	-0.304451656	0.916634318	0	0.093249184	0.023903654	0.067192508	0.042806473	0.056534515	0	0.089979308	0	0	0	0.045444938	0	0	0	0.109804209	0.280699778	0.140589381	0	0.049796052	0	0	0.67	-0.009001932	1.083105442
TCGA-4Z-AA80	BLCA	0.478464042	-0.412637195	0.891101237	0.080709895	0	0.038723204	0.179619585	0.063595763	0	0	0.169504488	0	0	0.069430758	0	0.013284858	0	0.045151447	0.202941846	0	0.062956125	0	0.074082031	0	0	0.054	0.159354633	1.023404712
