symbol	correlation	pvalue
Sapitinib_1549	-0.004120941	0.907354505
Uprosertib_1553	-0.003006144	0.935287745
LCL161_1557	-0.042163752	0.256862066
Lapatinib_1558	-0.081861327	0.024583876
Luminespib_1559	-0.050667184	0.151954851
Alpelisib_1560	-0.052790284	0.135496001
Taselisib_1561	-0.02421941	0.493668128
EPZ5676_1563	-0.088812557	0.012077049
SCH772984_1564	-0.06835212	0.053294432
IWP-2_1576	-0.044119338	0.235433786
Leflunomide_1578	-0.061505246	0.097735284
Entinostat_1593	-0.00301253	0.935150583
OSI-027_1594	0.050255834	0.41789178
LGK974_1598	-0.121299402	0.000585587
VE-822_1613	-0.080507246	0.030082517
WZ4003_1614	-0.019815871	0.593992861
CZC24832_1615	-0.05740355	0.122270644
AZD5582_1617	-0.009181841	0.806517423
GSK2606414_1618	-0.037805912	0.311379116
PFI3_1620	-0.070639274	0.057115062
PCI-34051_1621	-0.014777398	0.690996178
Wnt-C59_1622	-0.0816824	0.027752431
I-BET-762_1624	0.022557013	0.544252279
RVX-208_1625	-0.072853839	0.049894064
OTX015_1626	-0.006089807	0.869884729
GSK343_1627	-0.082480665	0.026363643
ML323_1629	-0.100705211	0.006614158
Entospletinib_1630	0.016813088	0.651074686
PRT062607_1631	-0.028207145	0.447932945
Ribociclib_1632	-0.199374187	0.184049527
AGI-6780_1634	-0.091470005	0.013681195
Picolinici-acid_1635	-0.067665472	0.068431953
AZD5153_1706	-0.051359696	0.167147489
CDK9_5576_1708	-0.063299421	0.088538805
CDK9_5038_1709	-0.049646959	0.181777475
Eg5_9814_1712	-0.05320349	0.153258644
ERK_2440_1713	-0.016114914	0.664661414
ERK_6604_1714	-0.074078586	0.046009645
IRAK4_4710_1716	-0.078601634	0.034217403
JAK1_8709_1718	-0.091809677	0.013334021
AZD5991_1720	-0.12393524	0.000846114
PAK_5339_1730	-0.109920768	0.003040781
TAF1_5496_1732	-0.161144607	1.30E-05
ULK1_4989_1733	-0.055019454	0.13914446
VSP34_8731_1734	-0.066087031	0.075149312
Selumetinib_1736	-0.065550096	0.077553281
IGF1R_3801_1738	-0.021944224	0.55524576
JAK_8517_1739	-0.087068315	0.018954873
AZD4547_1786	-0.105047983	0.003904145
Ibrutinib_1799	-0.078133533	0.03581474
Zoledronate_1802	-0.099299578	0.007415697
Acetalax_1804	-0.098025682	0.00821608
Oxaliplatin_1806	-0.087291182	0.018650378
Carmustine_1807	-0.082635771	0.025977854
Topotecan_1808	-0.032689462	0.379122189
Teniposide_1809	-0.059281383	0.110499522
Mitoxantrone_1810	-0.047743821	0.198811808
Dactinomycin_1811	-0.144617072	9.21E-05
Fludarabine_1813	-0.100515969	0.006717336
Nelarabine_1814	-0.092948305	0.01228628
Fulvestrant_1816	-0.126371687	0.000642917
Vincristine_1818	-0.041628239	0.26461666
Docetaxel_1819	-0.017429042	0.653202084
Podophyllotoxin bromide_1825	-0.055720993	0.133628286
Dihydrorotenone_1827	-0.163467716	9.84E-06
Gallibiscoquinazole_1830	-0.146452199	7.47E-05
Elephantin_1835	-0.036657378	0.323966229
Sinularin_1838	-0.058171292	0.117345041
Sabutoclax_1849	-0.059877314	0.107442734
LY2109761_1852	-0.120130019	0.001182768
OF-1_1853	-0.14557807	8.26E-05
MN-64_1854	-0.079785614	0.031594969
KRAS (G12C) Inhibitor-12_1855	-0.124645247	0.000763117
MG-132_1862	-0.037237082	0.302403053
BDP-00009066_1866	-0.083787226	0.021831821
Buparlisib_1873	-0.087538649	0.016559442
Ulixertinib_1908	-0.07942463	0.02974372
Venetoclax_1909	-0.078996286	0.030195856
ABT737_1910	-0.088228574	0.015791974
Dactinomycin_1911	-0.04305072	0.243094346
Afuresertib_1912	-0.046548982	0.203495463
AGI-5198_1913	-0.131998213	0.000291954
AZD3759_1915	-0.059280391	0.10315285
AZD5363_1916	-0.055190063	0.131283005
AZD6738_1917	-0.049506196	0.175913211
AZD8186_1918	-0.03252569	0.374052981
Osimertinib_1919	-0.073933544	0.043094521
Cediranib_1922	-0.051029825	0.162969446
Ipatasertib_1924	-0.135948369	0.000190161
GDC0810_1925	-0.110114597	0.002546594
GNE-317_1926	-0.033319312	0.367041469
GSK2578215A_1927	-0.080815591	0.026989155
I-BRD9_1928	-0.072712761	0.046667753
Telomerase Inhibitor IX_1930	-0.085134543	0.019790773
MIRA-1_1931	-0.100250363	0.006067029
NVP-ADW742_1932	-0.06404974	0.079812351
P22077_1933	-0.124424381	0.000642961
Savolitinib_1936	-0.11713579	0.00133053
UMI-77_1939	-0.081037781	0.026570154
WIKI4_1940	-0.066556654	0.068870184
Sepantronium bromide_1941	0.033131246	0.365218762
MIM1_1996	-0.058307523	0.110836651
WEHI-539_1997	-0.041777818	0.253471214
BPD-00008900_1998	-0.071146883	0.051612332
Foretinib_2040	0.002908004	0.936756934
BIBR-1532_2043	-0.091277025	0.012628516
Pyridostatin_2044	-0.089929838	0.01394151
AMG-319_2045	-0.066467427	0.069994635
MK-8776_2046	-0.085319579	0.019770398
Ulixertinib_2047	-0.139810334	0.000127588
Vinorelbine_2048	-0.08462293	0.020800962
VX-11e_2096	-0.123163859	0.00076719
Uprosertib_2106	-0.11120295	0.00241784
LJI308_2107	-0.133622361	0.000259658
AZ6102_2109	-0.052720037	0.151109615
GSK591_2110	-0.111703525	0.002309999
VE821_2111	-0.130666395	0.000362186
AZD6482_2169	-0.161679852	0.277595457
AT13148_2170	-0.09178695	0.01237336
BMS-754807_2171	0.045494757	0.769337003
JQ1_2172	-0.071151733	0.634601835
