sample	PATIENT	cancer	TN	FDX1	LIAS	LIPT1	DLD	DLAT	PDHA1	PDHB	MTF1	GLS	CDKN2A
TCGA-22-5474-01	TCGA-22-5474	LUSC	tumor	0.09453515	0.047710215	0.033746936	0.2351405	0.046587825	0.04320686	0.057409211	0.026655029	0.136694448	0.18701955
TCGA-22-5474-11	TCGA-22-5474	LUSC	normal	0.100260483	0.041729656	0.032002645	0.245891875	0.0439028	0.0439303	0.046185678	0.026740571	0.134860125	0.148769275
TCGA-22-5477-01	TCGA-22-5477	LUSC	tumor	0.185292517	0.039737319	0.032565045	0.227866715	0.088743425	0.046621	0.043751096	0.032079857	0.131708313	0.05928275
TCGA-22-5477-11	TCGA-22-5477	LUSC	normal	0.103776283	0.038352605	0.036258936	0.2470004	0.05931645	0.04527822	0.045029433	0.025208929	0.13239825	0.165338025
TCGA-22-5478-01	TCGA-22-5478	LUSC	tumor	0.090081517	0.04239402	0.032511773	0.157691675	0.0492729	0.0448783	0.040331356	0.027808971	0.135216976	0.095803025
TCGA-22-5478-11	TCGA-22-5478	LUSC	normal	0.0947027	0.041805448	0.029146345	0.2448179	0.05291625	0.04470938	0.046447033	0.0288082	0.122681943	0.1663733
TCGA-22-5480-01	TCGA-22-5480	LUSC	tumor	0.138715933	0.043315435	0.072867327	0.246303925	0.05763145	0.25155686	0.049175111	0.0252158	0.136332513	0.07468725
TCGA-22-5480-11	TCGA-22-5480	LUSC	normal	0.104222217	0.039482827	0.04170859	0.2529992	0.04952045	0.392036	0.044606178	0.026563643	0.132531563	0.182674925
TCGA-22-5482-01	TCGA-22-5482	LUSC	tumor	0.16134965	0.038822497	0.031384882	0.235237725	0.0655705	0.04978922	0.0416123	0.025607457	0.12911635	0.099702325
TCGA-22-5482-11	TCGA-22-5482	LUSC	normal	0.095954433	0.041828099	0.045316345	0.252228975	0.056211675	0.04101492	0.047098689	0.026769343	0.135505063	0.204745
TCGA-22-5485-01	TCGA-22-5485	LUSC	tumor	0.091596983	0.03877782	0.070542464	0.184562575	0.0538207	0.38499222	0.038692943	0.0250733	0.132515996	0.0709853
TCGA-22-5485-11	TCGA-22-5485	LUSC	normal	0.090405717	0.043778129	0.065377118	0.247368575	0.05640775	0.3576226	0.04581258	0.027705957	0.130363663	0.153676
TCGA-22-5489-01	TCGA-22-5489	LUSC	tumor	0.097151633	0.04462066	0.069950364	0.23793485	0.06040405	0.04406704	0.055525978	0.029159557	0.126382463	0.185248125
TCGA-22-5489-11	TCGA-22-5489	LUSC	normal	0.1093895	0.039523993	0.075017091	0.246823725	0.0537798	0.0452056	0.048218911	0.025311614	0.135438863	0.14867635
TCGA-22-5491-01	TCGA-22-5491	LUSC	tumor	0.1006926	0.040400419	0.036158936	0.140825575	0.053367575	0.04504452	0.0470146	0.022755229	0.13950755	0.0683211
TCGA-22-5491-11	TCGA-22-5491	LUSC	normal	0.112528733	0.033546549	0.035525409	0.250782	0.06070375	0.04727748	0.046132022	0.027924814	0.132487555	0.184524175
TCGA-22-5492-01	TCGA-22-5492	LUSC	tumor	0.103047017	0.043588517	0.034275627	0.160344	0.050610975	0.409338	0.045651189	0.025353114	0.132339054	0.0894906
TCGA-22-5492-11	TCGA-22-5492	LUSC	normal	0.112523883	0.037987052	0.040558309	0.2338628	0.0535842	0.3568954	0.041484589	0.027813786	0.134227263	0.180083525
TCGA-33-4566-01	TCGA-33-4566	LUSC	tumor	0.1584168	0.036434108	0.031963277	0.2370075	0.1542285	0.06773574	0.060865408	0.028339899	0.129175835	0.144658525
TCGA-33-4566-11	TCGA-33-4566	LUSC	normal	0.137349083	0.035138753	0.036614645	0.24274325	0.14903555	0.0593385	0.041592646	0.023313559	0.128497836	0.123288925
TCGA-33-4582-01	TCGA-33-4582	LUSC	tumor	0.126795683	0.031224627	0.066874264	0.1909381	0.05667495	0.04350314	0.038500489	0.023419929	0.135339909	0.10546685
TCGA-33-4582-11	TCGA-33-4582	LUSC	normal	0.121462183	0.030833453	0.070348627	0.243779975	0.06922325	0.0487216	0.044679641	0.023737571	0.136966225	0.1554171
TCGA-33-4583-01	TCGA-33-4583	LUSC	tumor	0.1334762	0.042049426	0.0405193	0.239811175	0.200537975	0.04834604	0.039271867	0.025102986	0.128839068	0.0422946
TCGA-33-4583-11	TCGA-33-4583	LUSC	normal	0.105976233	0.037008799	0.034947136	0.2420998	0.094726225	0.05019498	0.041248856	0.025336271	0.12853093	0.1624575
TCGA-33-4586-01	TCGA-33-4586	LUSC	tumor	0.090665833	0.037020257	0.033682627	0.16945735	0.11956535	0.05353442	0.037944156	0.028775171	0.129534676	0.0458911
TCGA-33-4586-11	TCGA-33-4586	LUSC	normal	0.1085982	0.03764716	0.034222118	0.2515255	0.070237775	0.04245756	0.046922881	0.027506757	0.126847675	0.142076325
TCGA-33-4589-01	TCGA-33-4589	LUSC	tumor	0.10541955	0.030837395	0.0663762	0.24898475	0.115825825	0.32727	0.047983233	0.030200229	0.122372675	0.0736662
TCGA-33-4589-11	TCGA-33-4589	LUSC	normal	0.1112208	0.033305694	0.073647709	0.238304425	0.05596485	0.3323218	0.043877358	0.029400286	0.12929612	0.174116675
TCGA-34-5929-01	TCGA-34-5929	LUSC	tumor	0.068845367	0.048717913	0.042394764	0.096172275	0.047491225	0.493209	0.0483794	0.030171057	0.1432595	0.1704193
TCGA-34-5929-11	TCGA-34-5929	LUSC	normal	0.106800633	0.043352594	0.037150209	0.23907975	0.0570193	0.29781254	0.046407533	0.028859557	0.125730088	0.171827975
TCGA-38-4631-01	TCGA-38-4631	LUAD	tumor	0.153592083	0.084305767	0.07977173	0.22348845	0.1176146	0.4275112	0.091689256	0.0646465	0.137747075	0.1209389
TCGA-38-4631-11	TCGA-38-4631	LUAD	normal	0.145642533	0.063623683	0.086341773	0.2539175	0.12409255	0.3133136	0.081185867	0.054382957	0.127847688	0.2171302
TCGA-38-4632-01	TCGA-38-4632	LUAD	tumor	0.166963533	0.07987334	0.073851718	0.23334165	0.083468825	0.10710434	0.0812515	0.062178757	0.109847641	0.220009175
TCGA-38-4632-11	TCGA-38-4632	LUAD	normal	0.142710717	0.072788889	0.057279247	0.2542359	0.1069689	0.09672336	0.073144911	0.057314029	0.147863213	0.139212125
TCGA-39-5011-01	TCGA-39-5011	LUSC	tumor	0.1113632	0.037553207	0.037242818	0.25483625	0.077933825	0.3571406	0.053270456	0.025847843	0.135423498	0.09603505
TCGA-39-5011-11	TCGA-39-5011	LUSC	normal	0.1037485	0.038068361	0.0310546	0.23835165	0.060044125	0.371384	0.04372948	0.0240974	0.128891161	0.1465421
TCGA-39-5016-01	TCGA-39-5016	LUSC	tumor	0.1120997	0.037207554	0.069090136	0.2224177	0.221396775	0.05750542	0.051019528	0.027002877	0.134746664	0.078082925
TCGA-39-5016-11	TCGA-39-5016	LUSC	normal	0.1154616	0.034150466	0.0711522	0.2591895	0.096896075	0.05174758	0.050058803	0.029453016	0.125195139	0.1298137
TCGA-39-5019-01	TCGA-39-5019	LUSC	tumor	0.113365883	0.053400873	0.055670673	0.193683025	0.0903448	0.0567897	0.056809267	0.035554286	0.137646563	0.13657245
TCGA-39-5019-11	TCGA-39-5019	LUSC	normal	0.112748733	0.044362979	0.041399318	0.237037675	0.072856825	0.05319322	0.044041033	0.030536257	0.12345284	0.169081225
TCGA-39-5021-01	TCGA-39-5021	LUSC	tumor	0.09463765	0.037242647	0.036168345	0.203826025	0.07825105	0.04823224	0.045726222	0.0275414	0.123425539	0.101899125
TCGA-39-5021-11	TCGA-39-5021	LUSC	normal	0.104750833	0.037312852	0.035461455	0.245653425	0.083061825	0.04172564	0.042069392	0.027142614	0.13069906	0.136429225
TCGA-39-5028-01	TCGA-39-5028	LUSC	tumor	0.086734183	0.036685012	0.068391045	0.239605825	0.0932732	0.0469704	0.040786567	0.021809833	0.10902557	0.139931825
TCGA-39-5028-11	TCGA-39-5028	LUSC	normal	0.106792617	0.030272493	0.065379655	0.2463714	0.082111275	0.04810064	0.035848922	0.02242593	0.131679548	0.14177165
TCGA-39-5029-01	TCGA-39-5029	LUSC	tumor	0.093515217	0.035601084	0.032436464	0.1672435	0.0706446	0.0443581	0.053300982	0.024369896	0.127014274	0.0999265
TCGA-39-5029-11	TCGA-39-5029	LUSC	normal	0.1219704	0.035232094	0.033643073	0.24584975	0.064231875	0.0513869	0.048597498	0.027509371	0.136603144	0.16144815
TCGA-39-5030-01	TCGA-39-5030	LUSC	tumor	0.084002217	0.042431627	0.0756773	0.2365423	0.0563025	0.376486	0.052540011	0.0267809	0.124575469	0.153451925
TCGA-39-5030-11	TCGA-39-5030	LUSC	normal	0.0999286	0.03499542	0.076825591	0.244181975	0.085179325	0.3556056	0.042261499	0.024955477	0.12906362	0.17679825
TCGA-39-5031-01	TCGA-39-5031	LUSC	tumor	0.128020017	0.036598409	0.077972709	0.2290962	0.07874525	0.3983382	0.042514256	0.0262712	0.129834324	0.12681345
TCGA-39-5031-11	TCGA-39-5031	LUSC	normal	0.128937617	0.035784245	0.074538055	0.237402675	0.114313975	0.406857	0.042005194	0.027720671	0.126482496	0.15765995
TCGA-39-5034-01	TCGA-39-5034	LUSC	tumor	0.111955333	0.042558319	0.0366602	0.18029895	0.049058475	0.2916914	0.047370678	0.027828086	0.133278866	0.19796455
TCGA-39-5034-11	TCGA-39-5034	LUSC	normal	0.107050483	0.032869139	0.0407918	0.2481252	0.12807995	0.3859464	0.0505356	0.026086444	0.125046315	0.159080525
TCGA-39-5035-01	TCGA-39-5035	LUSC	tumor	0.101046533	0.035528603	0.036440264	0.132914875	0.1489982	0.4708152	0.048179021	0.024196344	0.128953478	0.051976043
TCGA-39-5035-11	TCGA-39-5035	LUSC	normal	0.0974516	0.036820407	0.036079336	0.239777075	0.12428085	0.3732204	0.043939066	0.02452116	0.126400261	0.176033025
TCGA-39-5036-01	TCGA-39-5036	LUSC	tumor	0.1200864	0.034771188	0.028869718	0.213491375	0.117018575	0.0468424	0.048353287	0.02601826	0.136023861	0.081684625
TCGA-39-5036-11	TCGA-39-5036	LUSC	normal	0.08077855	0.039513523	0.034688627	0.2421387	0.05397315	0.0439261	0.0434365	0.0240147	0.130164603	0.18568335
TCGA-39-5037-01	TCGA-39-5037	LUSC	tumor	0.115394083	0.032219164	0.0340083	0.1440606	0.0687132	0.05042938	0.036353056	0.026747471	0.130540369	0.124846
TCGA-39-5037-11	TCGA-39-5037	LUSC	normal	0.106006383	0.036275027	0.032800564	0.249676175	0.0575548	0.04418368	0.042333178	0.026525186	0.131522071	0.16094525
TCGA-39-5039-01	TCGA-39-5039	LUSC	tumor	0.091890633	0.03474092	0.064780264	0.182412475	0.07045435	0.04240234	0.046492126	0.025387571	0.131515624	0.118901
TCGA-39-5039-11	TCGA-39-5039	LUSC	normal	0.093299933	0.029402475	0.066133255	0.241072225	0.06104215	0.04269174	0.045052689	0.026972543	0.131465624	0.178704875
TCGA-43-5668-01	TCGA-43-5668	LUSC	tumor	0.0998695	0.045640652	0.035626536	0.252546175	0.0468481	0.04933944	0.051473789	0.023601157	0.13695543	0.117900025
TCGA-43-5668-11	TCGA-43-5668	LUSC	normal	0.111825383	0.039294659	0.033680018	0.2384791	0.0522584	0.04439216	0.047083489	0.028119129	0.131693163	0.144660175
TCGA-43-6771-01	TCGA-43-6771	LUSC	tumor	0.1428394	0.048775133	0.037568936	0.22535095	0.06755435	0.04977722	0.060003567	0.031402371	0.141164063	0.161348275
TCGA-43-6771-11	TCGA-43-6771	LUSC	normal	0.091372133	0.038175961	0.040106582	0.243553625	0.05531625	0.04565028	0.047448078	0.031250171	0.132850781	0.15140155
TCGA-44-2656-01	TCGA-44-2656	LUAD	tumor	0.1441005	0.077498233	0.060435773	0.25571075	0.08052815	0.08861812	0.076616144	0.047174614	0.124859534	0.214646925
TCGA-44-2656-11	TCGA-44-2656	LUAD	normal	0.147707167	0.079224213	0.062793391	0.24416275	0.106275975	0.0837634	0.062062289	0.041821329	0.131086686	0.1465793
TCGA-44-2665-01	TCGA-44-2665	LUAD	tumor	0.111900667	0.082387893	0.064707438	0.22939435	0.09401345	0.4254988	0.071396744	0.051777586	0.106608875	0.18756175
TCGA-44-2665-11	TCGA-44-2665	LUAD	normal	0.145093183	0.094080529	0.070990018	0.27205685	0.080944625	0.395155	0.063986778	0.047797043	0.138790304	0.154967775
TCGA-44-2668-01	TCGA-44-2668	LUAD	tumor	0.1244154	0.080166183	0.085821818	0.246695425	0.0806701	0.08082652	0.083643689	0.052927357	0.148839013	0.15876095
TCGA-44-2668-11	TCGA-44-2668	LUAD	normal	0.147420433	0.101494247	0.158541917	0.25473325	0.086050925	0.09110596	0.0602046	0.035343471	0.131053843	0.14931595
TCGA-44-5643-01	TCGA-44-5643	LUAD	tumor	0.14037455	0.07070075	0.058730508	0.238140625	0.105032775	0.07770008	0.077865533	0.051377571	0.128529151	0.111334
TCGA-44-5643-11	TCGA-44-5643	LUAD	normal	0.137554683	0.06993716	0.062763891	0.252466325	0.091183275	0.07567628	0.077460844	0.051672643	0.13559405	0.15488545
TCGA-44-5645-01	TCGA-44-5645	LUAD	tumor	0.118029617	0.087669727	0.066028635	0.251796825	0.070838725	0.4545486	0.071964111	0.052524957	0.103549463	0.124181125
TCGA-44-5645-11	TCGA-44-5645	LUAD	normal	0.123876167	0.075187653	0.055532182	0.240287575	0.090665575	0.3638164	0.069997989	0.048007286	0.134080638	0.16773395
TCGA-44-6144-01	TCGA-44-6144	LUAD	tumor	0.152226383	0.065450503	0.059113882	0.206577925	0.09586805	0.09468834	0.078092756	0.053398057	0.1305578	0.130552025
TCGA-44-6144-11	TCGA-44-6144	LUAD	normal	0.193926633	0.083308927	0.071945024	0.2657203	0.11589055	0.10494826	0.0901191	0.066485586	0.137469475	0.16007505
TCGA-44-6145-01	TCGA-44-6145	LUAD	tumor	0.143506817	0.068980647	0.051116909	0.25389155	0.1069867	0.3599982	0.079372544	0.045208	0.134287188	0.185813425
TCGA-44-6145-11	TCGA-44-6145	LUAD	normal	0.140409833	0.081310933	0.066100112	0.253473525	0.104498275	0.3930622	0.080780189	0.052881657	0.139495571	0.172938975
TCGA-44-6146-01	TCGA-44-6146	LUAD	tumor	0.096751233	0.080076193	0.074779136	0.252304525	0.063507825	0.07299978	0.070970756	0.054521129	0.136084288	0.143092
TCGA-44-6146-11	TCGA-44-6146	LUAD	normal	0.18798495	0.080132813	0.08301728	0.243584625	0.1250162	0.12356462	0.087867567	0.066497457	0.140906763	0.165072675
TCGA-44-6148-01	TCGA-44-6148	LUAD	tumor	0.158010217	0.08243012	0.0667326	0.188655975	0.119154575	0.0969712	0.075550622	0.0612264	0.145071625	0.2289727
TCGA-44-6148-11	TCGA-44-6148	LUAD	normal	0.165968333	0.067664475	0.059899973	0.23249385	0.10245175	0.09027806	0.0699355	0.049623743	0.1436669	0.155567875
TCGA-44-6778-01	TCGA-44-6778	LUAD	tumor	0.129377883	0.072503343	0.06510981	0.217399625	0.075463075	0.0893718	0.072632222	0.046633974	0.132320498	0.1376824
TCGA-44-6778-11	TCGA-44-6778	LUAD	normal	0.179752317	0.08617722	0.073363627	0.262195475	0.104273325	0.1236697	0.085943343	0.057729086	0.144460375	0.15939095
TCGA-49-4488-01	TCGA-49-4488	LUAD	tumor	0.144364383	0.071622809	0.099742845	0.2344937	0.100754025	0.4060804	0.0718461	0.055057914	0.11405457	0.244605625
TCGA-49-4488-11	TCGA-49-4488	LUAD	normal	0.169600417	0.08976688	0.0908119	0.250429975	0.1515015	0.401064	0.095232022	0.063237286	0.143700588	0.2027411
TCGA-49-6745-01	TCGA-49-6745	LUAD	tumor	0.1505927	0.074737007	0.074070655	0.24836005	0.085843725	0.07930842	0.075271089	0.042828557	0.112671155	0.137166925
TCGA-49-6745-11	TCGA-49-6745	LUAD	normal	0.17120295	0.080822837	0.095603509	0.24307585	0.108778825	0.08938168	0.084578533	0.060615471	0.1479873	0.179435125
TCGA-50-5930-01	TCGA-50-5930	LUAD	tumor	0.141309633	0.06947056	0.054238656	0.216290275	0.082521075	0.08427666	0.070075722	0.0571673	0.14425559	0.155061575
TCGA-50-5930-11	TCGA-50-5930	LUAD	normal	0.137599567	0.075167553	0.070278368	0.2528032	0.0985151	0.1169627	0.081491022	0.058687114	0.14813065	0.126668525
TCGA-50-5931-01	TCGA-50-5931	LUAD	tumor	0.187174617	0.074445113	0.067520571	0.2256583	0.108347875	0.4768102	0.104645156	0.052516243	0.150334116	0.0763507
TCGA-50-5931-11	TCGA-50-5931	LUAD	normal	0.16241495	0.077039707	0.063025291	0.252671375	0.155514825	0.424559	0.087244311	0.048263243	0.134969125	0.2091083
TCGA-50-5932-01	TCGA-50-5932	LUAD	tumor	0.139416633	0.084897167	0.078324673	0.244740375	0.082448225	0.083001	0.0796202	0.0719088	0.159842925	0.232927625
TCGA-50-5932-11	TCGA-50-5932	LUAD	normal	0.1517937	0.085264033	0.078171518	0.250382875	0.108796475	0.0971837	0.085905633	0.0651779	0.144295863	0.187155275
TCGA-50-5933-01	TCGA-50-5933	LUAD	tumor	0.126182967	0.060547407	0.065237191	0.257630875	0.1092989	0.08767742	0.092837022	0.0539688	0.140501	0.22753785
TCGA-50-5933-11	TCGA-50-5933	LUAD	normal	0.1984647	0.077518137	0.073726927	0.2516225	0.08121675	0.0970615	0.083397156	0.057961814	0.142090438	0.172419575
TCGA-50-5935-01	TCGA-50-5935	LUAD	tumor	0.18743575	0.062218887	0.062284797	0.25077735	0.126555225	0.5391114	0.086983	0.054035	0.107234463	0.275860225
TCGA-50-5935-11	TCGA-50-5935	LUAD	normal	0.154800917	0.0648763	0.056554487	0.252487925	0.119868025	0.4144452	0.080045011	0.056563543	0.14750445	0.213647925
TCGA-50-5936-01	TCGA-50-5936	LUAD	tumor	0.121392467	0.065190593	0.086196973	0.19775875	0.072377975	0.0635296	0.092814678	0.046638886	0.144825563	0.12220135
TCGA-50-5936-11	TCGA-50-5936	LUAD	normal	0.134418183	0.069166147	0.084780609	0.255588825	0.077168925	0.07716242	0.067190867	0.049153729	0.140776938	0.14471445
TCGA-50-5939-01	TCGA-50-5939	LUAD	tumor	0.145612733	0.06564398	0.081064727	0.263227475	0.097578	0.08243072	0.084763011	0.043342914	0.137069891	0.128499075
TCGA-50-5939-11	TCGA-50-5939	LUAD	normal	0.135634	0.061507313	0.067648827	0.239859975	0.098494475	0.07344676	0.069684833	0.045948771	0.128686696	0.188612175
TCGA-50-6591-01	TCGA-50-6591	LUAD	tumor	0.1865492	0.072302473	0.064051791	0.231220675	0.146358675	0.4284744	0.092550322	0.049723457	0.142957813	0.06785765
TCGA-50-6591-11	TCGA-50-6591	LUAD	normal	0.160030717	0.080692547	0.073451855	0.236133925	0.11051175	0.3765092	0.084867744	0.062502686	0.144468038	0.187960275
TCGA-50-6592-01	TCGA-50-6592	LUAD	tumor	0.130590633	0.07581404	0.06358217	0.25173855	0.1005057	0.3303516	0.089006867	0.054798843	0.148497388	0.1442432
TCGA-50-6592-11	TCGA-50-6592	LUAD	normal	0.146814283	0.08085228	0.069104073	0.18525155	0.139346575	0.3831668	0.102998967	0.060589786	0.131620175	0.193536375
TCGA-50-6593-01	TCGA-50-6593	LUAD	tumor	0.154607067	0.071675493	0.050374029	0.23707025	0.096875725	0.3288208	0.080698933	0.052483	0.14721425	0.22179105
TCGA-50-6593-11	TCGA-50-6593	LUAD	normal	0.161448667	0.089838806	0.059755074	0.260144025	0.13610385	0.3999924	0.082707356	0.053710286	0.145462763	0.1700182
TCGA-50-6594-01	TCGA-50-6594	LUAD	tumor	0.1967637	0.063845667	0.054038829	0.268444125	0.084181675	0.26979092	0.070343622	0.052178071	0.090370686	0.07367005
TCGA-50-6594-11	TCGA-50-6594	LUAD	normal	0.142686833	0.068165993	0.064684909	0.246922775	0.11045655	0.3843628	0.070851177	0.0513979	0.141463363	0.174617575
TCGA-73-4658-01	TCGA-73-4658	LUAD	tumor	0.188809733	0.077062927	0.075563645	0.249791125	0.119925675	0.3935984	0.0801413	0.05316505	0.129860769	0.26157525
TCGA-73-4658-11	TCGA-73-4658	LUAD	normal	0.154254383	0.079826213	0.069388557	0.2581455	0.102090925	0.328372	0.080482633	0.054280157	0.148936026	0.203781075
TCGA-73-4676-01	TCGA-73-4676	LUAD	tumor	0.163658	0.071952213	0.058860843	0.2488747	0.1104265	0.08804836	0.066088611	0.057640086	0.103903513	0.098372875
TCGA-73-4676-11	TCGA-73-4676	LUAD	normal	0.159811383	0.085016047	0.079883236	0.2561101	0.109319725	0.09148112	0.094758467	0.063266829	0.155373425	0.14963725
TCGA-A3-3357-01	TCGA-A3-3357	KIRC	tumor	0.128016117	0.052800387	0.068748873	0.24434935	0.080391825	0.05656106	0.057974911	0.028545971	0.118370956	0.245634075
TCGA-A3-3357-11	TCGA-A3-3357	KIRC	normal	0.127809283	0.048815453	0.074370845	0.250537675	0.102075025	0.06273122	0.041553489	0.0253396	0.114552429	0.1140224
TCGA-A3-3367-01	TCGA-A3-3367	KIRC	tumor	0.156476667	0.054009119	0.047024991	0.25125545	0.1262092	0.05497366	0.0461478	0.024883357	0.093774684	0.19785675
TCGA-A3-3367-11	TCGA-A3-3367	KIRC	normal	0.134826983	0.054851193	0.037705118	0.23622325	0.071030175	0.05207364	0.043469411	0.028185729	0.123526795	0.150196325
TCGA-A3-3370-01	TCGA-A3-3370	KIRC	tumor	0.136943383	0.050719467	0.078475273	0.2517205	0.064005025	0.4095574	0.053817389	0.029516043	0.134656575	0.14927045
TCGA-A3-3370-11	TCGA-A3-3370	KIRC	normal	0.1505806	0.04817942	0.073413418	0.260188925	0.09946035	0.3833126	0.045292856	0.028185843	0.129835425	0.124527075
TCGA-A3-3373-01	TCGA-A3-3373	KIRC	tumor	0.090153833	0.048028253	0.045899473	0.2473729	0.087914175	0.4803542	0.0407628	0.028214671	0.133938425	0.2125954
TCGA-A3-3373-11	TCGA-A3-3373	KIRC	normal	0.164871483	0.05389998	0.046521991	0.25450195	0.0702645	0.3513794	0.050780167	0.0291632	0.128927938	0.16946165
TCGA-A3-3376-01	TCGA-A3-3376	KIRC	tumor	0.095593083	0.049049287	0.059097773	0.2441104	0.063252425	0.05158328	0.045015189	0.0264397	0.130418284	0.158019775
TCGA-A3-3376-11	TCGA-A3-3376	KIRC	normal	0.130109067	0.048790533	0.046519318	0.2452448	0.07071495	0.04779454	0.047017178	0.0253321	0.125921223	0.1615357
TCGA-A3-3385-01	TCGA-A3-3385	KIRC	tumor	0.210298617	0.048836107	0.041222627	0.25247125	0.070958675	0.3588568	0.044040436	0.026243671	0.124530305	0.267971
TCGA-A3-3385-11	TCGA-A3-3385	KIRC	normal	0.135737933	0.042540233	0.038635045	0.251942575	0.08988405	0.32808328	0.046077868	0.025621786	0.13118885	0.1252739
TCGA-A4-7288-01	TCGA-A4-7288	KIRP	tumor	0.21760535	0.04937282	0.037370082	0.264411925	0.078887825	0.25675654	0.042739111	0.0344715	0.136934563	0.27434475
TCGA-A4-7288-11	TCGA-A4-7288	KIRP	normal	0.120963517	0.051420573	0.048877655	0.255976375	0.06236285	0.3578888	0.042399733	0.032663886	0.131542175	0.1198895
TCGA-A4-7585-01	TCGA-A4-7585	KIRP	tumor	0.131938183	0.038550753	0.040116736	0.259724275	0.0574638	0.05435718	0.057463478	0.029284471	0.129760538	0.179520925
TCGA-A4-7585-11	TCGA-A4-7585	KIRP	normal	0.140865917	0.0412777	0.038439791	0.255059475	0.062103375	0.06322436	0.042731567	0.030891271	0.123895088	0.125189425
TCGA-A4-7732-01	TCGA-A4-7732	KIRP	tumor	0.178279	0.053171347	0.038432618	0.258934	0.056513675	0.0517985	0.043680556	0.032058214	0.133632775	0.197103975
TCGA-A4-7732-11	TCGA-A4-7732	KIRP	normal	0.1149819	0.048276287	0.033464036	0.257455825	0.0667807	0.04957508	0.048196824	0.031578014	0.122338175	0.13397515
TCGA-A6-2671-01	TCGA-A6-2671	COAD	tumor	0.164762817	0.04727864	0.067856818	0.231662625	0.0858726	0.05166278	0.048698044	0.031303586	0.1340489	0.241737975
TCGA-A6-2671-11	TCGA-A6-2671	COAD	normal	0.099576483	0.052257433	0.076877109	0.22758675	0.04717505	0.05608282	0.057653044	0.032838271	0.130172963	0.191120825
TCGA-A6-2675-01	TCGA-A6-2675	COAD	tumor	0.14170065	0.043982773	0.072947009	0.245112675	0.055486025	0.05078266	0.046413344	0.031221	0.131707588	0.23115125
